scopus_id	active	open_access	main_publisher	source_type
12185	1	0	Optical Society of India	Journal
12186	1	0	Elsevier	Journal
12187	0	0	Elsevier	Journal
12188	1	0	SAGE	Journal
12189	1	0	Elsevier	Journal
12190	0	0	Cambridge University Press	Journal
12191	1	0	Elsevier	Journal
12192	1	0	IOS Press	Journal
12194	1	0	Elsevier	Journal
12195	0	0	S G Editores	Journal
12196	1	1	Springer nature	Journal
12197	0	0	Society for Computer Simulation	Journal
12198	1	0	Wolters Kluwer Health	Journal
12199	0	0	Edimedica	Journal
12201	0	0	British Editorial Society of Bone and Joint Surgery	Journal
12202	1	0	Elsevier	Journal
12203	0	0	Institutul National de Gerontologie si Geriatrie	Journal
12204	1	0	Taylor & Francis	Journal
12205	0	0	Institute of Physics Publishing	Journal
12206	0	0	Institute of Physics Publishing	Journal
12207	1	0	Elsevier	Journal
12208	0	0	Russian Federation Academy of Sciences	Journal
12209	1	0	Hindawi Publishing Corporation	Journal
12210	0	0	Pennwell Publishing Company	Trade Journal
12211	1	0	Wiley-Blackwell	Journal
12212	1	0	Elsevier	Journal
12213	1	0	Association for Computing Machinery	Journal
12214	1	0	Elsevier	Journal
12215	0	0	ABI Professional Publications	Journal
12216	1	0	Oxford University Press	Journal
12217	1	0	Springer nature	Journal
12218	1	0	Wolters Kluwer Health	Journal
12219	1	0	Elsevier	Journal
12220	1	0	Springer nature	Journal
12221	1	0	Wiley-Blackwell	Journal
12223	1	0	Taylor & Francis	Journal
12225	1	0	Institute of Physics Publishing	Journal
12226	0	0	Carl Hanser Verlag	Journal
12227	1	0	Old City Publishing Inc.	Journal
12228	0	0	Old City Publishing Inc.	Journal
12229	1	0	Wiley-Blackwell	Journal
12232	0	0	Taylor & Francis	Journal
12233	0	0	Morfologiya	Journal
12234	1	0	World Scientific	Journal
12235	1	0	Mary Ann Liebert	Journal
12236	1	0	Springer nature	Journal
12237	0	0	Charles Sturt University	Journal
12239	1	0	Wiley-Blackwell	Journal
12240	1	0	Elsevier	Journal
12241	0	0	IPC Science & Technology Press	Journal
12244	0	0	Taylor & Francis	Journal
12245	1	0	Taylor & Francis	Journal
