scopus_id	top_level_subject
12334	Health Sciences
12335	Physical Sciences
12336	Physical Sciences
12337	Physical Sciences
12340	Physical Sciences
12341	Physical Sciences
12342	Physical Sciences
12344	Health Sciences
12345	Physical Sciences
12345	Social Sciences
12346	Physical Sciences
12347	Physical Sciences
12348	Physical Sciences
12349	Physical Sciences
12350	Physical Sciences
12351	Physical Sciences
12352	Physical Sciences
12353	Health Sciences
12354	Health Sciences
12355	Physical Sciences
12356	Health Sciences
12357	Physical Sciences
12357	Social Sciences
12358	Physical Sciences
12360	Physical Sciences
12361	Health Sciences
12363	Health Sciences
12364	Physical Sciences
12364	Social Sciences
12365	Social Sciences
12366	Physical Sciences
12367	Physical Sciences
12369	Physical Sciences
12370	Physical Sciences
12372	Physical Sciences
12373	Physical Sciences
12373	Social Sciences
12375	Physical Sciences
12376	Physical Sciences
12377	Physical Sciences
12378	Physical Sciences
12380	Physical Sciences
12381	Health Sciences
12382	Physical Sciences
12382	Social Sciences
12383	Physical Sciences
12384	Physical Sciences
12385	Health Sciences
12385	Social Sciences
12386	Health Sciences
12387	Physical Sciences
12387	Social Sciences
12388	Physical Sciences
12388	Social Sciences
12389	Physical Sciences
12390	Social Sciences
12391	Health Sciences
12392	Health Sciences
12395	Physical Sciences
12395	Social Sciences
12396	Physical Sciences
12396	Social Sciences
12397	Physical Sciences
12397	Social Sciences
12398	Physical Sciences
12399	Health Sciences
12400	Health Sciences
12402	Physical Sciences
12402	Social Sciences
12403	Health Sciences
12404	Health Sciences
12406	Health Sciences
12408	Health Sciences
12409	Physical Sciences
12411	Health Sciences
12412	Health Sciences
12415	Physical Sciences
12416	Health Sciences
12417	Social Sciences
12419	Physical Sciences
12421	Health Sciences
12423	Health Sciences
12424	Physical Sciences
12425	Health Sciences
12426	Health Sciences
12427	Health Sciences
12428	Health Sciences
12429	Health Sciences
12430	Health Sciences
12431	Physical Sciences
12431	Social Sciences
12434	Health Sciences
12435	Health Sciences
12439	Health Sciences
12440	Physical Sciences
12440	Social Sciences
12441	Physical Sciences
12442	Social Sciences
12443	Physical Sciences
12444	Physical Sciences
12445	Health Sciences
12446	Health Sciences
12448	Health Sciences
12450	Physical Sciences
12452	Social Sciences
12453	Physical Sciences
12454	Physical Sciences
12456	Physical Sciences
12456	Social Sciences
12457	Physical Sciences
12457	Social Sciences
12458	Health Sciences
12459	Health Sciences
12460	Physical Sciences
12460	Social Sciences
12461	Health Sciences
12462	Health Sciences
12464	Health Sciences
12465	Physical Sciences
12468	Health Sciences
12468	Social Sciences
12469	Health Sciences
12470	Physical Sciences
12471	Health Sciences
12472	Physical Sciences
12473	Health Sciences
12474	Physical Sciences
12478	Physical Sciences
12479	Physical Sciences
12480	Health Sciences
12481	Physical Sciences
12481	Social Sciences
12484	Health Sciences
12485	Physical Sciences
12486	Health Sciences
12487	Physical Sciences
12489	Physical Sciences
12490	Physical Sciences
12491	Physical Sciences
12492	Physical Sciences
12492	Social Sciences
12493	Physical Sciences
12494	Health Sciences
12496	Health Sciences
12497	Health Sciences
12499	Health Sciences
12501	Physical Sciences
12503	Physical Sciences
12504	Physical Sciences
12504	Social Sciences
12505	Health Sciences
12505	Physical Sciences
12506	Health Sciences
12507	Physical Sciences
12508	Health Sciences
12509	Physical Sciences
12510	Physical Sciences
12511	Health Sciences
12512	Physical Sciences
12512	Social Sciences
12513	Health Sciences
12514	Physical Sciences
12514	Social Sciences
12515	Physical Sciences
12516	Physical Sciences
12516	Social Sciences
12517	Physical Sciences
12518	Physical Sciences
12519	Health Sciences
12520	Health Sciences
12521	Health Sciences
12525	Health Sciences
12530	Health Sciences
12531	Health Sciences
12537	Physical Sciences
12538	Health Sciences
12539	Health Sciences
12541	Health Sciences
12542	Social Sciences
12545	Health Sciences
12547	Health Sciences
12548	Physical Sciences
12549	Health Sciences
12550	Health Sciences
12551	Health Sciences
12552	Health Sciences
12553	Physical Sciences
12554	Health Sciences
12556	Health Sciences
12558	Health Sciences
12559	Health Sciences
12560	Health Sciences
12561	Social Sciences
12563	Health Sciences
12566	Physical Sciences
12567	Physical Sciences
12568	Health Sciences
12569	Physical Sciences
12569	Social Sciences
12570	Physical Sciences
12570	Social Sciences
12571	Physical Sciences
12572	Physical Sciences
12573	Social Sciences
12574	Health Sciences
12574	Physical Sciences
12575	Health Sciences
12575	Social Sciences
12576	Health Sciences
12577	Physical Sciences
12578	Health Sciences
12579	Physical Sciences
12581	Physical Sciences
12582	Physical Sciences
12584	Health Sciences
12585	Physical Sciences
12588	Health Sciences
12590	Physical Sciences
12591	Physical Sciences
12593	Health Sciences
12595	Health Sciences
12596	Health Sciences
12597	Social Sciences
12598	Health Sciences
12599	Health Sciences
12600	Health Sciences
12601	Health Sciences
12602	Health Sciences
12603	Physical Sciences
12603	Social Sciences
12604	Health Sciences
12605	Health Sciences
12609	Physical Sciences
12609	Social Sciences
12611	Health Sciences
12612	Social Sciences
12613	Health Sciences
12615	Health Sciences
12616	Health Sciences
12616	Social Sciences
12620	Health Sciences
12621	Health Sciences
12622	Health Sciences
12623	Health Sciences
12624	Health Sciences
12625	Health Sciences
12626	Health Sciences
12628	Health Sciences
12629	Physical Sciences
12629	Social Sciences
12630	Physical Sciences
12633	Physical Sciences
12634	Health Sciences
12634	Social Sciences
12635	Health Sciences
12636	Physical Sciences
12637	Social Sciences
12638	Health Sciences
12639	Physical Sciences
12641	Health Sciences
12642	Health Sciences
12643	Health Sciences
12644	Health Sciences
12645	Health Sciences
12646	Health Sciences
12647	Health Sciences
12648	Health Sciences
12649	Health Sciences
12650	Health Sciences
12652	Physical Sciences
12652	Social Sciences
12653	Health Sciences
12654	Health Sciences
12655	Physical Sciences
12656	Physical Sciences
12657	Health Sciences
12658	Physical Sciences
12659	Health Sciences
12661	Health Sciences
12662	Physical Sciences
12663	Health Sciences
12664	Health Sciences
12665	Social Sciences
12666	Physical Sciences
12667	Physical Sciences
12668	Physical Sciences
12669	Social Sciences
12670	Physical Sciences
12671	Health Sciences
12671	Social Sciences
12672	Health Sciences
12674	Health Sciences
12674	Physical Sciences
12675	Health Sciences
12677	Physical Sciences
12679	Physical Sciences
12679	Social Sciences
12680	Physical Sciences
12681	Health Sciences
12683	Health Sciences
12683	Social Sciences
12684	Health Sciences
12685	Health Sciences
12685	Social Sciences
12686	Physical Sciences
12687	Social Sciences
12689	Physical Sciences
12689	Social Sciences
12690	Social Sciences
12691	Social Sciences
12692	Social Sciences
12693	Social Sciences
12694	Social Sciences
12695	Social Sciences
12697	Health Sciences
12699	Social Sciences
12700	Health Sciences
12701	Physical Sciences
12702	Health Sciences
12703	Health Sciences
12704	Health Sciences
12705	Health Sciences
12706	Physical Sciences
12707	Health Sciences
12708	Health Sciences
12709	Physical Sciences
12709	Social Sciences
12710	Social Sciences
12711	Physical Sciences
12711	Social Sciences
12712	Health Sciences
12715	Health Sciences
12716	Health Sciences
12717	Health Sciences
12718	Health Sciences
12719	Health Sciences
12720	Health Sciences
12721	Health Sciences
12722	Health Sciences
12723	Physical Sciences
12724	Physical Sciences
12725	Physical Sciences
12726	Physical Sciences
12727	Physical Sciences
12728	Health Sciences
12729	Physical Sciences
12730	Health Sciences
12731	Physical Sciences
12732	Health Sciences
12733	Social Sciences
12734	Social Sciences
12735	Health Sciences
12736	Health Sciences
12736	Social Sciences
12737	Health Sciences
12737	Social Sciences
12738	Health Sciences
12738	Social Sciences
12739	Health Sciences
12740	Social Sciences
12741	Health Sciences
12742	Health Sciences
12743	Health Sciences
12744	Health Sciences
12745	Health Sciences
12746	Social Sciences
12747	Health Sciences
12748	Social Sciences
12749	Social Sciences
12751	Health Sciences
12753	Physical Sciences
12753	Social Sciences
12754	Physical Sciences
12754	Social Sciences
12755	Physical Sciences
12755	Social Sciences
12756	Physical Sciences
12757	Social Sciences
12759	Health Sciences
12759	Social Sciences
12760	Physical Sciences
12761	Health Sciences
12762	Physical Sciences
12763	Physical Sciences
12763	Social Sciences
12764	Physical Sciences
12764	Social Sciences
12766	Physical Sciences
12767	Social Sciences
12768	Social Sciences
12769	Social Sciences
12770	Social Sciences
12772	Social Sciences
12773	Physical Sciences
12773	Social Sciences
12775	Social Sciences
12776	Social Sciences
12780	Physical Sciences
12782	Health Sciences
12782	Physical Sciences
12783	Health Sciences
12785	Health Sciences
12788	Health Sciences
12789	Social Sciences
12791	Social Sciences
12792	Social Sciences
12793	Social Sciences
12794	Physical Sciences
12794	Social Sciences
12795	Physical Sciences
12795	Social Sciences
12796	Social Sciences
12797	Social Sciences
12798	Social Sciences
12799	Physical Sciences
12799	Social Sciences
12800	Physical Sciences
12803	Physical Sciences
12804	Physical Sciences
12804	Social Sciences
12805	Social Sciences
12806	Social Sciences
12807	Social Sciences
12808	Social Sciences
12809	Social Sciences
12810	Social Sciences
12811	Social Sciences
12812	Social Sciences
12813	Physical Sciences
12813	Social Sciences
12814	Social Sciences
12815	Physical Sciences
12815	Social Sciences
12816	Social Sciences
12817	Social Sciences
12818	Physical Sciences
12819	Social Sciences
12820	Health Sciences
12821	Social Sciences
12822	Social Sciences
12823	Health Sciences
12823	Social Sciences
12824	Social Sciences
12825	Social Sciences
12826	Social Sciences
12827	Health Sciences
12828	Physical Sciences
12828	Social Sciences
12831	Social Sciences
12833	Social Sciences
12834	Social Sciences
12837	Physical Sciences
12837	Social Sciences
12838	Physical Sciences
12840	Social Sciences
12841	Health Sciences
12841	Social Sciences
12844	Social Sciences
12846	Physical Sciences
12847	Social Sciences
12849	Physical Sciences
12852	Social Sciences
12853	Social Sciences
12854	Health Sciences
12854	Social Sciences
12855	Social Sciences
12856	Social Sciences
12857	Social Sciences
12858	Social Sciences
12859	Social Sciences
12860	Social Sciences
12862	Physical Sciences
12863	Physical Sciences
12865	Physical Sciences
12867	Social Sciences
12868	Social Sciences
12869	Social Sciences
12870	Health Sciences
12871	Social Sciences
12872	Physical Sciences
12872	Social Sciences
12874	Physical Sciences
12874	Social Sciences
12877	Physical Sciences
12878	Physical Sciences
12879	Physical Sciences
12880	Physical Sciences
12881	Social Sciences
12882	Social Sciences
