main_publisher_slug	n_journals	main_publisher	name_variants
bureau-v-z-z	1	Bureau V Z Z	1
burlington-magazine	1	Burlington Magazine	1
buro-van-die-woordeboek-van-die-afrikaanse-taal	1	Buro van die Woordeboek van die Afrikaanse Taal	1
bursa-ilahiyat-foundation	1	Bursa Ilahiyat Foundation	1
bursa-uludag-university	1	Bursa Uludag University	1
business-center-for-academic-societies-japan-nihon-gakkai-jimu-senta	6	Business Center for Academic Societies Japan/Nihon Gakkai Jimu Senta	1
business-communications-co-inc	1	Business Communications Co., Inc.	1
business-information-group	6	Business Information Group	1
business-news-publishing-co	10	Business News Publishing Co.	1
business-perspectives	3	Business Perspectives	1
business-press-ltd	1	Business Press Ltd.	1
business-publications-ltd	1	Business Publications, Ltd	1
business-publishers	1	Business Publishers	1
buttenheim-pub-corp	1	Buttenheim Pub. Corp.	1
butterworths-tolley	3	Butterworths Tolley	1
c-a-reitzel	1	C.A. Reitzel	1
c-e-p-i-centro-editoriale-pubblicitario-italiano-s-r-l	2	C E P I - Centro Editoriale Pubblicitario Italiano s.r.l.	1
c-f-mueller-verlag-huethig-gmbh-co	4	C.F. Mueller Verlag Huethig GmbH & Co.	1
c-h-beck	1	C.H.BECK	1
c-hanser	1	C. Hanser	1
c-henderson	1	C. Henderson	1
c-l-v-edizioni-liturgiche	1	C L V Edizioni Liturgiche	1
c-m-b-association	1	C M B Association	1
c-m-l-publications	2	C M L Publications	1
c-o-david-william-foster-arizona-state-university	1	c/o David William Foster, Arizona State University	1
c-r-l-publishing-ltd	1	C R L Publishing Ltd.	1
c-r-monigatti	1	C. R. Monigatti	1
c-roy-keys-inc	1	C. Roy Keys Inc	1
c-s-c-publishing-inc	1	C S C Publishing, Inc	1
c-scribners-sons	1	C. Scribner's Sons	1
c-t-e-pulications-inc	1	C T E Pulications Inc.	1
c-v-mosby-company	3	C.V. Mosby Company	1
ca-and-cc-press-ab	1	CA and CC Press AB	1
ca-foscari-university-department-of-philosophy-and-cultural-heritage	1	Ca Foscari University Department of Philosophy and Cultural Heritage	1
cab-international	1	CAB International	1
cabi-publishing	2	CABI Publishing	1
cable-satellite-magazine-limited	1	Cable & Satellite Magazine Limited	1
cactus-succulent-society-of-america	1	Cactus & Succulent Society of America	1
caddo-gap-press	1	Caddo Gap Press	1
cafet-innova-technical-society	1	Cafet-Innova Technical Society	1
cahiers-de-l-audition	1	Cahiers De L Audition	1
cahners-business-information	1	Cahners Business Information	1
cahners-pub-co	10	Cahners Pub. Co.	1
cailiao-daobaoshe-materials-review	1	Cailiao Daobaoshe/ Materials Review	1
cairn-belgique	1	CAIRN Belgique	1
cairn-publishers	1	CAIRN Publishers	1
cairo-university	3	Cairo University	1
caisse-nationale-dassurance-vieillesse	1	Caisse Nationale d'assurance Vieillesse	1
caister-academic-press	2	Caister Academic Press	1
calabar-school-of-philosophy-csp	1	Calabar School of Philosophy (CSP)	1
california-agricultural-experiment-station	1	California Agricultural Experiment Station	1
california-cooperative-oceanic-fisheries-investigations	1	California Cooperative Oceanic Fisheries Investigations	1
california-dental-association	3	California Dental Association	1
california-field-ornithologists	1	California Field Ornithologists	1
california-folklore-society	1	California Folklore Society	1
california-malacozoological-society	1	California Malacozoological Society	1
california-medical-association	1	California Medical Association	1
california-state-university	4	California State University	1
calvin-college-press	1	Calvin College Press	1
calvin-theological-seminary	1	Calvin Theological Seminary	1
cam-editrice-roma	1	CAM Editrice Roma	1
cambrian-medieval-celtic-studies-cmcs-publications	1	Cambrian Medieval Celtic Studies (CMCS) Publications	1
cambridge-center-for-behavioral-studies	1	Cambridge Center for Behavioral Studies	1
cambridge-international-science-publishing	2	Cambridge International Science Publishing	1
cambridge-media	1	Cambridge Media	1
cambridge-medical-publications	3	Cambridge Medical Publications	1
cambridge-scientific-publishers-ltd	3	Cambridge Scientific Publishers Ltd	1
cambridge-university-press	391	Cambridge University Press	1
camel-publishing-house	1	Camel Publishing House	1
campus-verlag	1	Campus-Verlag	1
canada-ministry-of-health	1	Canada Ministry of Health	1
canadian-academy-of-child-and-adolescent-psychiatry	1	Canadian Academy of Child and Adolescent Psychiatry	1
canadian-acoustical-association	1	Canadian Acoustical Association	1
canadian-aeronatiucs-and-institute	1	Canadian Aeronatiucs and Institute	1
canadian-anaesthetists-society	1	Canadian Anaesthetists Society	1
canadian-apparel-federation	1	Canadian Apparel Federation	1
canadian-assn-of-sport-sciences	1	Canadian Assn. of Sport Sciences	1
canadian-association-for-research-in-rehabilitation	1	Canadian Association for Research in Rehabilitation	1
canadian-association-of-medical-radiation-technologists	2	Canadian Association of Medical Radiation Technologists	1
canadian-association-of-neuroscience-nurses	1	Canadian Association of Neuroscience Nurses	1
canadian-association-of-occupational-therapists	1	Canadian Association of Occupational Therapists	1
canadian-association-of-radiologists	1	Canadian Association of Radiologists	1
canadian-association-of-slavists	1	Canadian Association of Slavists	1
canadian-association-of-speech-language-pathologists-and-audiologists	2	Canadian Association Of Speech-Language Pathologists And Audiologists	1
canadian-center-of-science-and-education	7	Canadian Center of Science and Education	1
canadian-ceramic-society	3	Canadian Ceramic Society	1
canadian-chiropractic-association	1	Canadian Chiropractic Association	1
canadian-coordinating-office-for-health-technology-assessment	1	Canadian Coordinating Office for Health Technology Assessment	1
canadian-council-of-cardiovascular-nurses-of-the-heart-and-stroke-foundation-of-canada	1	Canadian Council of Cardiovascular Nurses of the Heart and Stroke Foundation of Canada	1
canadian-criminal-justice-association-association-canadienne-de-justice-penale	1	Canadian Criminal Justice Association/Association Canadienne de Justice Penale	1
canadian-dental-association	3	Canadian Dental Association	1
canadian-dental-hygienists-association	2	Canadian Dental Hygienists Association	1
canadian-energy-research-institute	1	Canadian Energy Research Institute	1
canadian-evaluation-society	1	Canadian Evaluation Society	1
canadian-forces-dental-services	1	Canadian Forces Dental Services	1
canadian-geographical-enterprises	1	Canadian Geographical Enterprises	1
canadian-geriatrics-society	1	Canadian Geriatrics Society	1
canadian-health-libraries-association	1	Canadian Health Libraries Association	1
canadian-hiv-aids-information-centre	1	Canadian HIV/AIDS Information Centre	1
canadian-hiv-aids-legal-network	3	Canadian HIV-AIDS Legal Network	1
canadian-hospital-association	3	Canadian Hospital Association	1
canadian-institute-for-health-information	1	Canadian Institute for Health Information	1
canadian-institute-for-studies-in-publishing-press	1	Canadian Institute for Studies in Publishing Press	1
canadian-institute-of-forestry-institut-forestier-du-canada	1	Canadian Institute of Forestry/Institut Forestier du Canada	1
canadian-institute-of-geomatics	1	Canadian Institute of Geomatics	1
canadian-institute-of-international-affairs	1	Canadian Institute of International Affairs	1
canadian-institute-of-metallurgy	1	Canadian Institute of Metallurgy	1
canadian-institute-of-mining	1	Canadian Institute of Mining	1
canadian-institute-of-mining-and-metallurgy	2	Canadian Institute of Mining and Metallurgy	1
canadian-institute-of-mining-metallurgy-and-petroleum	1	Canadian Institute of Mining, Metallurgy and Petroleum	1
canadian-institute-of-planners	1	Canadian Institute of Planners	1
canadian-institute-of-surveying-mapping	2	Canadian Institute of Surveying & Mapping	1
canadian-mathematical-society	2	Canadian Mathematical Society	1
canadian-medical-association	1	Canadian Medical Association	1
canadian-medical-association-association-medical-canadienne	8	Canadian Medical Association/Association Medical Canadienne	1
canadian-museum-of-nature	1	Canadian Museum of Nature	1
canadian-nautical-research-society-cnrs	1	Canadian Nautical Research Society (CNRS)	1
canadian-network-for-innovation-in-education	1	Canadian Network for Innovation in Education	1
canadian-nurses-association-association-des-infirmieres-et-infirmiers-du-canada	2	Canadian Nurses Association/Association des Infirmieres et Infirmiers du Canada	1
canadian-ophthalmological-society	1	Canadian Ophthalmological Society	1
canadian-pharmacists-association	1	Canadian Pharmacists Association	1
canadian-philosophy-education-society	1	Canadian Philosophy Education Society	1
canadian-plains-research-center	1	Canadian Plains Research Center	1
canadian-psychiatric-association	1	Canadian Psychiatric Association	1
canadian-psychological-association	2	Canadian Psychological Association	1
canadian-public-health-association	1	Canadian Public Health Association	1
canadian-pulp-and-paper-assoc	1	Canadian Pulp and Paper Assoc	1
canadian-schizophrenia-foundation	1	Canadian Schizophrenia Foundation	1
canadian-science-and-technology-historical-society	1	Canadian Science and Technology Historical Society	1
canadian-science-publishing	1	Canadian Science Publishing	1
canadian-science-publishing-ottawa-canada	3	Canadian Science Publishing (Ottawa, Canada)	1
canadian-society-for-italian-studies	1	Canadian Society for Italian Studies	1
canadian-society-for-mechanical-engineering	1	Canadian Society for Mechanical Engineering	1
canadian-society-for-pharmaceutical-sciences	1	Canadian Society for Pharmaceutical Sciences	1
canadian-society-for-studies-in-higher-education	1	Canadian Society for Studies in Higher Education	1
canadian-society-for-the-study-of-education	1	Canadian Society for the Study of Education	1
canadian-society-of-addiction-medicine	2	Canadian Society of Addiction Medicine	1
canadian-society-of-agricultural-engineering	2	Canadian Society of Agricultural Engineering	1
canadian-society-of-hospital-pharmacists	1	Canadian Society of Hospital Pharmacists	1
canadian-society-of-petrolem-geologists	1	Canadian Society of Petrolem Geologists	1
canadian-society-of-respiratory-therapists	1	Canadian Society of Respiratory Therapists	1
canadian-sociology-and-anthropology-association	1	Canadian Sociology and Anthropology Association	1
canadian-textile-journal-pub-co	1	Canadian Textile Journal Pub. Co.	1
canadian-urological-association	2	Canadian Urological Association	1
canadian-vascular-access-association	1	Canadian Vascular Access Association	1
canadian-veterinary-medical-association	4	Canadian Veterinary Medical Association	1
canadian-wildlife-service-service-canadien-de-la-faune	1	Canadian Wildlife Service/Service Canadien de la Faune	1
cancer-chemotherapy-national-service-center	1	Cancer Chemotherapy National Service Center	1
cancer-council-australia	1	Cancer Council Australia	1
cancer-information-group	4	Cancer Information Group	1
cancer-media-group	1	Cancer Media Group	1
cancer-research-institute	1	Cancer Research Institute	1
cankaya-university	1	Cankaya University	1
cannadian-academic-accounting-association	1	Cannadian Academic Accounting Association	1
canon-communications-llc	6	Canon Communications LLC	1
capital-publications-inc	2	Capital Publications, Inc.	1
cappelli-editore	4	Cappelli Editore	1
capriolo-massimino	1	Capriolo & Massimino	1
carbone-editore	1	Carbone Editore	1
carden-jennings-publishing	1	Carden Jennings Publishing	1
cardiff-publishing-co	2	Cardiff Publishing Co.	1
cardiff-university	1	Cardiff University	1
cardinal-stefan-wyszynski-university-in-warsaw	1	Cardinal Stefan Wyszynski University in Warsaw	1
cardiofront-inc	1	Cardiofront, Inc.	1
cardiological-society-of-india	1	Cardiological Society of India	1
cardiology-academic-press	1	Cardiology Academic Press	1
cardiovascular-journal-of-south-africa	1	Cardiovascular Journal of South Africa	1
cardiovascular-research-center-faghihi-hospital	1	Cardiovascular Research Center, Faghihi Hospital	1
carl-hanser-verlag	20	Carl Hanser Verlag	1
carl-heymanns-verlag-kg	2	Carl Heymanns Verlag KG	1
carleton-university	2	Carleton University	1
carleton-university-centre-for-european-studies	1	Carleton University - Centre for European Studies	1
carlsberg-laboratory	1	Carlsberg Laboratory	1
carnegie-endowment-for-international-peace	1	Carnegie Endowment for International Peace	1
carnegie-mellon-university	2	Carnegie Mellon University	1
carnegie-museum-of-natural-history	1	Carnegie Museum of Natural History	1
carocci-editore	4	Carocci Editore	1
carol-davila-university-press	1	Carol Davila University Press	1
casa-cartii-de-stiinta	1	Casa Cartii de Stiinta	1
casa-de-velazquez	1	Casa de Velazquez	1
casa-editrice-dolt-a-giuffre	1	Casa Editrice Dolt.A.Giuffre	1
casa-editrice-dott-antonio-milani	1	Casa Editrice Dott. Antonio Milani	1
casa-editrice-felice-le-monnier	2	Casa Editrice Felice Le Monnier	1
casa-editrice-idelson-gnocchi	3	Casa Editrice Idelson Gnocchi	1
casa-editrice-ii-ponte	1	Casa Editrice II Ponte	1
casa-editrice-le-lettere	5	Casa Editrice le Lettere	1
casa-editrice-leo-s-olschki	10	Casa Editrice Leo S. Olschki	1
casa-editrice-licinio-cappelli	4	Casa Editrice Licinio Cappelli	1
casa-editrice-liguria	1	Casa Editrice Liguria	1
casa-editrice-loescher	2	Casa Editrice Loescher	1
casa-editrice-scientifica-internazionale-periodici	2	Casa Editrice Scientifica Internazionale Periodici	1
casalini-libri-digital-division	1	Casalini Libri Digital Division	1
case-western-reserve-university	2	Case Western Reserve University	1
case-western-reserve-university-law-school	1	Case Western Reserve University. Law School	1
caspur-ciber-publishing	1	Caspur-Ciber Publishing	1
cassak-publications	1	Cassak Publications	1
castle-house-publications	2	Castle House Publications	1
catalactica-association	1	Catalactica Association	1
catena-verlag	1	CATENA Verlag	1
catholic-biblical-association-of-america	1	Catholic Biblical Association of America	1
catholic-faculty-of-theology-university-of-split	1	Catholic Faculty of Theology, University of Split	1
catholic-health-association-of-canada	2	Catholic Health Association of Canada	1
catholic-health-association-of-the-united-states	2	Catholic Health Association of the United States	1
catholic-university-of-america-press	3	Catholic University of America Press	1
catholic-university-of-colombia	1	Catholic University of Colombia	1
catholic-university-of-louvain	1	Catholic University of Louvain	1
catholics-for-a-free-choice	1	Catholics for a Free Choice	1
cato-institute	1	Cato Institute	1
cds-ats-irsid	2	CDS, ATS & IRSID	1
cebrap-centro-brasileiro-de-analise-e-planejamento	1	CEBRAP - Centro Brasileiro de Analise e Planejamento	1
cedec	1	Cedec	1
cefin-publishing-house	1	Cefin Publishing House	1
cell-physiol-biochem-press	2	Cell Physiol Biochem Press	1
celsius-publishing-house	2	Celsius Publishing House	1
cement-and-concrete-association	1	Cement and Concrete Association	1
census-and-department-zhengfu-tongjichu	1	Census and Department/Zhengfu Tongjichu	1
centar-za-mentalno-zdravlje	1	Centar za mentalno zdravlje	1
centaur-communications-ltd	3	Centaur Communications Ltd.	1
centaur-publishing	3	Centaur Publishing	1
centauro-srl	4	Centauro SRL	1
centaurus-verlagsgesellschaft	1	Centaurus-Verlagsgesellschaft	1
center-for-academic-publications-japan	2	Center for Academic Publications Japan	1
center-for-administrative-change	1	Center for Administrative Change	1
center-for-asian-public-opinion-research-and-collaboration-initiative	1	Center for Asian Public Opinion Research and Collaboration Initiative	1
center-for-biodiversity-of-montenegro	1	Center for Biodiversity of Montenegro	1
center-for-black-music-research	1	Center for Black Music Research	1
center-for-caregiver-and-patient-advocacy	1	Center for Caregiver and Patient Advocacy	1
center-for-constitutional-studies	1	Center for Constitutional Studies	1
center-for-environmental-planning-and-technology-university	1	Center for Environmental Planning and Technology University	1
center-for-fisheries-research	1	Center for Fisheries Research	1
center-for-foreign-policy-and-peace-research-ihsan-dogramaci-peace-foundation	1	Center for Foreign Policy and Peace Research, Ihsan Dogramaci Peace Foundation	1
center-for-health-sciences	1	Center for Health Sciences	1
center-for-hellenic-studies	1	Center for Hellenic Studies	1
center-for-home-care-policy-and-research-u-s	1	Center for Home Care Policy and Research (U.S.)	1
center-for-intercultural-dialogue-and-cooperation	1	Center for Intercultural Dialogue and Cooperation	1
center-for-international-studies-cis-iul-of-the-lisbon-university-institute-iscte	1	Center for International Studies (CIS-IUL) of the Lisbon University Institute (ISCTE)	1
center-for-korea-studies-university-of-washington	1	Center for Korea Studies, University of Washington	1
center-for-korean-history-korea-university	1	Center for Korean History, Korea University	1
center-for-management-development-john-a-walker-college-of-business	1	Center for Management Development, John A. Walker College of Business	1
center-for-medicare-education	1	Center for Medicare Education	1
center-for-medieval-and-renaissance-studies	1	Center for Medieval and Renaissance Studies	1
center-for-migration-studies	1	Center for Migration Studies	1
center-for-new-technologies-nanostroitel	1	Center for New Technologies Nanostroitel	1
center-for-religious-studies	1	Center for Religious Studies	1
center-for-research-in-education-institute-of-education-of-the-university-of-minho	1	Center for Research in Education, Institute of Education of the University of Minho	1
center-for-study-of-religion-and-religious-tolerance	1	Center for Study of Religion and Religious Tolerance	1
center-for-studying-health-system-change	3	Center for Studying Health System Change	1
center-for-tailoring-biotechnologies-and-genomics	1	Center for Tailoring Biotechnologies and Genomics	1
center-for-the-study-of-film-and-history	1	Center for the Study of Film and History	1
center-for-the-study-of-the-presidency	1	Center for the Study of the Presidency	1
center-for-the-study-of-venoms-and-venomous-animals-cevap	1	Center for the Study of Venoms and Venomous Animals (CEVAP)	1
center-for-urban-restoration-ecology	1	Center for Urban Restoration Ecology	1
center-for-western-studies	1	Center for Western Studies	1
center-of-alcohol-studies-rutgers-the-state-university-of-new-jersey	1	Center of Alcohol Studies, Rutgers, The State University of New Jersey	1
center-of-latin-american-studies-university-of-kansas	1	Center of Latin American Studies, University of Kansas	1
center-of-pharmaceutical-analytics	1	Center of Pharmaceutical Analytics	1
center-on-integrated-rural-development-for-asia-and-the-pacific	2	Center on Integrated Rural Development For Asia And the Pacific	1
centers-for-disease-control-and-prevention-cdc	4	Centers for Disease Control and Prevention (CDC)	1
centers-for-disease-control-and-prevention-u-s-dept-of-health-and-human-services	1	Centers for Disease Control and Prevention, U.S. Dept. of Health and Human Services	1
centers-for-medicare-medicaid-services-office-of-research-development-information	1	Centers for Medicare & Medicaid Services' Office of Research, Development & Information	1
centma-research	1	CENTMA Research	1
centraal-bureau-voor-de-statistiek	1	Centraal Bureau voor de Statistiek	1
central-african-journal-of-medicine-co	1	Central African Journal of Medicine Co.	1
central-board-of-irrigation-and-power	1	Central Board of Irrigation and Power	1
central-china-normal-university	1	Central China Normal University	1
central-european-journal-of-international-and-security-studies	1	Central European Journal of International and Security Studies	1
central-european-pragmatist-forum	1	Central European Pragmatist Forum	1
central-european-university	1	Central European University	1
central-fisheries-research-institute	3	Central Fisheries Research Institute	1
central-institute-of-mental-health	1	Central Institute of Mental Health	1
central-iron-and-steel-research-institute	1	Central Iron and Steel Research Institute	1
central-mining-institute	1	Central Mining Institute	1
central-missouri-state-university	2	Central Missouri State University	1
central-police-university-press	1	Central Police University Press	1
central-sericultural-research-training-institute	1	Central Sericultural Research & Training Institute	1
central-south-university	1	Central South University	1
central-statistical-office-of-poland	1	Central Statistical Office of Poland	1
centrale-du-nord	1	Centrale du Nord	1
centre-darcheologie-et-dhistoire-medievales-des-etablissements-religieux-cahmer	1	Centre d'archeologie et d'histoire medievales des etablissements religieux (CAHMER)	1
centre-de-cooperation-internationale-en-recherche-agronomique-pour-le-developpement	4	Centre de Cooperation Internationale en Recherche Agronomique Pour le Developpement	1
centre-de-documentation-du-verre-textile-et-des-plastiques-renforces	1	Centre de documentation du verre textile et des plastiques renforces	1
centre-de-psychologie-appliquee	1	Centre de Psychologie appliquee	1
centre-de-recherche-de-luniversite-de-paris-8	1	Centre de recherche de l'Universite de Paris 8	1
centre-de-sociologie-et-demographie-medicales	1	Centre de Sociologie et Demographie Medicales	1
centre-de-visio-per-computador	1	Centre de Visio per Computador	1
centre-detudes-et-de-documentation-sur-lex-urss	2	Centre D'Etudes et de Documentation Sur L'ex-URSS	1
centre-detudes-et-de-recherche-sur-la-population-pour-le-developement-de-linstitut-du-sahel	1	Centre d'etudes et de recherche sur la population pour le developement de l'Institut du Sahel	1
centre-detudes-mongoles-et-siberiennes	1	Centre d'etudes mongoles et siberiennes	1
centre-detudes-superieures-de-civilisation-medievale	1	Centre d'etudes Superieures de Civilisation Medievale	1
centre-for-addiction-and-mental-health	1	Centre for Addiction and Mental Health	1
centre-for-african-family-studies	1	Centre for African Family Studies	1
centre-for-agricultural-publishing-and-documentation	2	Centre For Agricultural Publishing And Documentation	1
centre-for-classical-studies-at-the-institute-of-philosophy-czech-academy-of-sciences	1	Centre for Classical Studies at the Institute of Philosophy, Czech Academy of Sciences	1
centre-for-development-research	2	Centre for Development Research	1
centre-for-economic-policy-research	1	Centre for Economic Policy Research	1
centre-for-education-in-the-built-environment-cebe	1	Centre for Education in the Built Environment (CEBE)	1
centre-for-environment-social-economic-research	1	Centre for Environment, Social & Economic Research	1
centre-for-global-education	1	Centre for Global Education	1
centre-for-herpetology-madras-crocodile-bank-trust	1	Centre for Herpetology, Madras Crocodile Bank Trust	1
centre-for-independent-social-research	1	Centre for Independent Social Research	1
centre-for-latin-american-research-and-documentation-centro-de-estudios-y-documentacion-latinoamericanos-cedla	1	Centre for Latin American Research and Documentation/Centro de Estudios y Documentación Latinoamericanos (CEDLA)	1
centre-for-overseas-pest-research	1	Centre for Overseas Pest Research	1
centre-for-science-technology-and-society-studie-institute-of-philosophy-of-the-czech-academy-of-sciences	1	Centre for Science, Technology, and Society Studie, Institute of Philosophy of the Czech Academy of Sciences	1
centre-for-scottish-studies-university-of-aberdeen	1	Centre for Scottish Studies, University of Aberdeen	1
centre-for-social-sciences-of-the-hungarian-academy-of-sciences	1	Centre for Social Sciences of the Hungarian Academy of Sciences	1
centre-for-studies-in-social-sciences	1	Centre for Studies in Social Sciences	1
centre-for-urban-and-community-studies-university-of-toronto	1	Centre for Urban and Community Studies, University of Toronto	1
centre-for-women-and-literature-gender-sexualities-and-cultural-criticism	1	Centre for Women and Literature. Gender, sexualities and cultural criticism	1
centre-georges-pompidou	1	Centre Georges-Pompidou	1
centre-international-d-etudes-criminologiques	1	Centre International D Etudes Criminologiques	1
centre-mersenne	1	Centre Mersenne	1
centre-national-belge-de-recherche-de-logique	1	Centre National Belge de Recherche de Logique	1
centre-national-dinformation-demographique	1	Centre national d'information demographique	1
centre-nationale-de-la-recherche-scientifique	2	Centre Nationale de la Recherche Scientifique	1
centre-of-excellence-in-molecular-biology	1	Centre of Excellence in Molecular Biology	1
centre-of-sociological-research	2	Centre of Sociological Research	1
centre-pour-la-conservation-et-letude-du-patrimoine-medicale	1	Centre pour la conservation et l'etude du patrimoine medicale	1
centre-regional-de-documentation-pedagogique-de-picardie	1	Centre Regional de Documentation Pedagogique de Picardie	1
centro-andaluz-de-medicina-del-deporte	1	Centro Andaluz de Medicina del Deporte	1
centro-argentino-de-informacion-cientifica-y-tecnologica-caicyt-conicet	1	Centro Argentino de Informacion Cientifica y Tecnologica (CAICYT-CONICET)	1
centro-argentino-de-meteorologos	1	Centro Argentino de Meteorologos	1
centro-de-biotecnologia-y-biomedicina-clinical-biotec-universidad-catolica-del-oriente-uco-univesidad-yachay-tech	1	Centro de Biotecnologia y Biomedicina, Clinical Biotec. Universidad Catolica del Oriente (UCO), Univesidad Yachay Tech	1
centro-de-ciencias-aplicadas-y-desarrollo-tecnologico-universidad-nacional-autonoma-de-mexico	1	Centro de Ciencias Aplicadas y Desarrollo Tecnologico, Universidad Nacional Autonoma de Mexico	1
centro-de-economia-politica	1	Centro de Economia Politica	1
centro-de-estudios-de-derecho-penal-de-la-universidad-de-talca	1	Centro de Estudios de Derecho Penal de la Universidad de Talca	1
centro-de-estudios-de-poblacion-y-paternidad-responsable-cepar	1	Centro de Estudios de Poblacion y Paternidad Responsable (CEPAR)	1
centro-de-estudios-del-desarrollo-de-la-universidad-central-de-venezuela	3	Centro de Estudios del Desarrollo de la Universidad Central de Venezuela	1
centro-de-estudios-del-proximo-oriente-y-la-antiguedad-tardia	1	Centro de Estudios del Proximo Oriente y la Antiguedad Tardia	1
centro-de-estudios-historicos-de-los-trabajadores-y-las-izquierdas	1	Centro de Estudios Historicos de los Trabajadores y las Izquierdas	1
centro-de-estudios-migratorios-latinoamericanos	1	Centro de Estudios Migratorios Latinoamericanos	1
centro-de-estudios-politicos-y-constitucionales	4	Centro de Estudios Politicos y Constitucionales	1
centro-de-estudios-sobre-la-despoblacion-y-desarrollo-de-areas-rurales	1	Centro de estudios sobre la despoblacion y desarrollo de areas rurales	1
centro-de-estudios-sociologicos-de-el-colegio-de-mexico	1	Centro de Estudios Sociologicos de El Colegio de Mexico	1
centro-de-estudos-de-opiniao-publica-universidade-estadual-de-campinas	1	Centro de Estudos de Opiniao Publica, Universidade Estadual de Campinas	1
centro-de-estudos-de-venenos-e-animais-peconhentos	1	Centro de Estudos de Venenos e Animais Peconhentos	1
centro-de-estudos-do-crescimento-e-do-desenvolvimento-do-ser-humano	1	Centro de Estudos do Crescimento e do Desenvolvimento do Ser Humano	1
centro-de-estudos-educacao-e-sociedade-cedes	1	Centro de Estudos Educacao e Sociedade - CEDES	1
centro-de-estudos-em-recursos-naturais-renovaveis	1	Centro de Estudos em Recursos Naturais Renovaveis	1
centro-de-estudos-sociais	1	Centro de estudos sociais	1
centro-de-formacao-cenfor	1	Centro de Formacao(CENFOR)	1
centro-de-informacion-tecnologica	2	Centro de Informacion Tecnologica	1
centro-de-informacion-y-documentacion-cientifica	1	Centro de Informacion y Documentacion Cientifica	1
centro-de-investigacion-en-computacion-cic-del-instituto-politecnico-nacional-ipn	1	Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN)	1
centro-de-investigacion-social-avanzada	1	Centro de Investigacion Social Avanzada	1
centro-de-investigacion-y-docencia-economicas	3	Centro de Investigacion y Docencia Economicas	1
centro-de-investigaciones-en-laseres-y-aplicaciones	1	Centro de Investigaciones en Laseres y Aplicaciones	1
centro-de-investigaciones-filosoficas	1	Centro de Investigaciones Filosoficas	1
centro-de-investigaciones-sociologicas	1	Centro de Investigaciones Sociologicas	1
centro-de-investigaciones-y-publicaciones-farmaceuticas	1	Centro de Investigaciones y Publicaciones Farmaceuticas	1
centro-de-pesquisas-e-desenvolvimento	1	Centro de Pesquisas e Desenvolvimento	1
centro-de-pesquisas-florestais	1	Centro de Pesquisas Florestais	1
centro-de-referencia-em-informacao-ambiental	2	Centro de Referencia em Informacao Ambiental	1
centro-di-della-edifimi	1	Centro Di della Edifimi	1
centro-editoriale-dehoniano	2	Centro Editoriale Dehoniano	1
centro-editoriale-pubblicitario-italiano	1	Centro Editoriale Pubblicitario Italiano	1
centro-em-rede-de-investigacao-em-antropologia-cria	1	Centro em Rede de Investigacao em Antropologia - CRIA	1
centro-interamericano-de-investigaciones-psicologicas-y-ciencias-afines	1	Centro Interamericano de Investigaciones Psicologicas y Ciencias Afines	1
centro-interdisciplinario-de-ciencias-marinas	1	Centro Interdisciplinario de Ciencias Marinas	1
centro-internacional-de-agricultura-tropical-ciat	1	Centro Internacional de Agricultura Tropical (CIAT)	1
centro-internazionale-di-studi-darchitettura-andrea-palladio	1	Centro internazionale di studi d'architettura Andrea Palladio	1
centro-italiano-di-studi-sullalto-medioevo	1	Centro Italiano di Studi Sull'alto Medioevo	1
centro-italiano-studi-omitologici	1	Centro Italiano Studi Omitologici	1
centro-latinoamericano-de-administracion-para-el-desarrollo-clad	1	Centro Latinoamericano de Administracion para el Desarrollo (CLAD)	1
centro-minerva-medica	1	Centro Minerva Medica	1
centro-nacional-de-capacitacion-en-terapia-del-dolor	1	Centro Nacional de Capacitacion en Terapia del Dolor	1
centro-nacional-de-informacion-de-ciencias-medicas	2	Centro Nacional De Informacion De Ciencias Medicas	1
centro-nacional-de-informacion-y-documentacion-cientifica	1	Centro Nacional de Informacion y Documentacion Cientifica	1
centro-nacional-de-investigaciones-metalurgicas	1	Centro Nacional de Investigaciones Metalurgicas	1
centro-para-la-investigacion-en-sistemas-sostenibles-de-produccion-agropecuaria	1	Centro para la Investigacion en Sistemas Sostenibles de Produccion Agropecuaria	1
centro-regional-de-investigaciones-cientificas-y-tecnologicas	1	Centro Regional de Investigaciones Cientificas y Tecnologicas	1
centro-studi-emigrazione	1	Centro Studi Emigrazione	1
centro-studi-piemontesi	1	Centro Studi Piemontesi	1
centro-universitario-curitiba-unicuritiba	2	Centro Universitario Curitiba - UNICURITIBA	1
centro-universitario-de-brasilia	2	Centro Universitario de Brasilia	1
centrul-de-documentare-medicala	1	Centrul De Documentare Medicala	1
centrum-medyczne-ksztalcenia-podyplomowego	1	Centrum Medyczne Ksztalcenia Podyplomowego	1
cepade-universidad-politecnica-de-madrid	1	CEPADE-Universidad Politecnica de Madrid	1
cepi-aim-group	2	CEPI-AIM Group	1
ceramic-society-of-japan	1	Ceramic Society of Japan	1
ceramics-art-and-perception-pty-ltd	2	Ceramics: Art and Perception Pty Ltd.	1
ceramurgia-s-p-a	1	Ceramurgia S.p.A.	1
ceramurgica-srl	3	Ceramurgica srl	1
