main_publisher_slug	n_journals	main_publisher	name_variants
academy-of-sciences-of-the-czech-republic	5	Academy of Sciences of the Czech Republic	1
academy-of-sciences-of-the-czech-republic-institute-of-sociology	1	Academy of Sciences of the Czech Republic, Institute of Sociology	1
academy-of-taiwan-information-systems-research	2	Academy of Taiwan Information Systems Research	1
academy-publisher	7	Academy Publisher	1
academy-publishing	1	Academy Publishing	1
academy-science-publishers	1	Academy Science Publishers	1
academyhealth	1	AcademyHealth	1
acarological-society-of-iran	1	Acarological Society of Iran	1
acc-scn	1	ACC/SCN	1
accademia-peloritana-dei-pericolanti	1	Accademia Peloritana dei Pericolanti	1
accb-publishing	1	ACCB Publishing	1
accent-social-and-welfare-society	2	Accent Social and Welfare Society	1
access-intelligence	1	Access Intelligence	1
accion-medica	2	Accion Medica	1
accreditation-council-for-graduate-medical-education	1	Accreditation Council for Graduate Medical Education	1
acg-publications	2	ACG Publications	1
acilim-yayincilik	1	Acilim Yayincilik	1
acoustical-publications-inc	1	Acoustical Publications, Inc.	1
acoustical-society-of-america	2	Acoustical Society of America	1
acoustical-society-of-japan	1	Acoustical Society of Japan	1
acoustical-society-of-korea	1	Acoustical Society of Korea	1
acrn-oxford-ltd	1	ACRN Oxford Ltd.	1
acron-verlag-manfred-bolschakoff	2	Acron-Verlag Manfred Bolschakoff	1
act-publishing-group-limited	1	ACT Publishing Group Limited	1
acta-endocrinologica-foundation	1	Acta Endocrinologica Foundation	1
acta-medica-belgica	24	Acta Medica Belgica	1
acta-medica-dominicana	1	Acta Medica Dominicana	1
acta-montanistica-slovaca	1	Acta Montanistica Slovaca	1
acta-naturae	1	Acta Naturae	1
acta-odontologica-latinoamericana	1	Acta Odontologica Latinoamericana	1
acta-press	7	ACTA Press	1
acta-radiologica	1	Acta Radiologica	1
acta-seismologica-sinica-press	1	Acta Seismologica Sinica Press	1
acta-simulata-systematica-sinica	1	Acta Simulata Systematica Sinica	1
acta-therapeutica	1	Acta Therapeutica	1
actes-sud-universite-davignon	1	Actes Sud, Universite d'Avignon	1
ad-com-inc	1	Ad-Com Inc.	1
ad-libros-publications-ltd	1	Ad Libros Publications Ltd.	1
ada-language-uk-ltd	2	Ada Language UK Ltd.	1
adam-marszalek-publishing-house	1	Adam Marszalek Publishing House	1
adam-mickiewicz-university	1	Adam Mickiewicz University	1
adam-mickiewicz-university-faculty-of-philosophy	1	Adam Mickiewicz University, Faculty of Philosophy	1
adam-mickiewicz-university-press	5	Adam Mickiewicz University Press	1
adams-business-media	8	Adams Business Media	1
adapt-university-press	1	ADAPT University Press	1
adcotec-ltd	2	ADCOTEC Ltd	1
addleton-academic-publishers	9	Addleton Academic Publishers	1
adler-museum-of-medicine	1	Adler Museum of Medicine	1
administrative-office-of-the-united-states-courts-federal-correctons-and-supervision-division	1	Administrative Office of the United States Courts, Federal Correctons and Supervision Division	1
adolf-m-hakkert	1	Adolf M. Hakkert	1
adolph-holzhausens-nachfolger	2	Adolph Holzhausens Nachfolger	1
adonis-abbey-publishers	4	Adonis & Abbey Publishers	1
adsale-publishing-company	2	Adsale Publishing Company	1
adult-learning-australia	1	Adult Learning Australia	1
advance-electromagnetics	1	Advance Electromagnetics	1
advanced-institute-of-convergence-information-technology-research-center	6	Advanced Institute of Convergence Information Technology Research Center	1
advanced-research-journals	3	Advanced Research Journals	1
advanced-scientific-research	1	Advanced Scientific Research	1
advanstar-communications	26	Advanstar Communications	1
advantage-business-media	3	Advantage Business Media	1
aec	1	AEC	1
aedei-the-spanish-association-for-irish-studies	1	AEDEI, the Spanish Association for Irish Studies	1
aeolus-press	1	Aeolus Press	1
aep-academic-electronic-press-ltd	1	AEP - Academic Electronic Press Ltd.	1
aeronautical-and-astronautical-society-of-the-republic-of-china	1	Aeronautical and Astronautical Society of the Republic of China	1
aerospace-medical-association	4	Aerospace Medical Association	1
afpe-editores-s-a	1	Afpe Editores S.A.	1
afppd-secretariat	1	AFPPD Secretariat	1
africa-growth-holdings-group-ltd	1	Africa Growth Holdings Group Ltd	1
africa-institute-of-south-afrcia	2	Africa Institute of South Afrcia	1
africa-journals	1	Africa Journals	1
africa-magna-verlag	1	Africa Magna Verlag	1
africa-regional-office	1	Africa Regional Office	1
africa-resource-center	1	Africa Resource Center	1
africagrowth-institute	1	Africagrowth Institute	1
african-association-of-agricultural-economists	1	African Association of Agricultural Economists	1
african-center-for-research-and-information-on-substance-abuse	1	African Center for Research and Information on Substance Abuse	1
african-council-for-communication-education-conseil-africain-pour-ienseignement-de-la-communication	1	African Council for Communication Education/Conseil Africain pour I'Enseignement de la Communication	1
african-ethnomedicines-network	1	African Ethnomedicines Network	1
african-federation-for-emergency-medicine	1	African Federation for Emergency Medicine	1
african-finance-association	1	African Finance Association	1
african-forum-for-health-sciences	1	African Forum for Health Sciences	1
african-journal-of-health-sciences	1	African Journal of Health Sciences	1
african-journals-online	1	African Journals online	1
african-medical-association	2	African Medical Association	1
african-networks-on-ethnomedicines	1	African Networks on Ethnomedicines	1
african-online-scientific-information-systems	1	African Online Scientific Information Systems	1
african-physical-society	1	African Physical Society	1
african-scholarly-science-communications-trust-asscat	1	African Scholarly Science Communications Trust (ASSCAT)	1
african-studies-association	1	African Studies Association	1
african-studies-association-of-australasia-and-the-pacific	1	African Studies Association of Australasia and the Pacific	1
african-studies-center-of-boston-university	2	African Studies Center of Boston University	1
african-urban-quarterly-ltd	1	African Urban Quarterly Ltd.	1
africana-pub-co	1	Africana Pub. Co.	1
agencia-espanola-de-cooperation-international	1	Agencia Espanola de Cooperation International	1
agencja-reklamowo-wydawnicza-foto-kurier	1	Agencja Reklamowo-Wydawnicza Foto Kurier	1
agency-for-health-care-policy-and-research	2	Agency For Health Care Policy And Research	1
agency-of-industrial-science-and-technology	2	Agency of Industrial Science and Technology	1
aggiornamento-pediatrico	1	Aggiornamento Pediatrico	1
agh-university-of-science-and-technology	1	AGH University of Science and Technology	1
agh-university-of-science-and-technology-press	1	AGH University of Science and Technology Press	1
agm-publishing-ltd	1	AGM Publishing Ltd.	1
agora-university	1	Agora University	1
agra-europe-ltd	1	Agra Europe Ltd.	1
agri-bio-research-publishers	2	Agri Bio Research Publishers	1
agri-overseas	1	Agri-Overseas	1
agricultural-academy	1	Agricultural Academy	1
agricultural-association-of-china	1	Agricultural Association of China	1
agricultural-extension-society-of-nigeria	1	Agricultural Extension Society of Nigeria	1
agricultural-history-society	1	Agricultural History Society	1
agricultural-institute-of-canada	3	Agricultural Institute of Canada	1
agricultural-research-communication-centre	3	Agricultural Research Communication Centre	1
agricultural-university-of-iceland	1	Agricultural University of Iceland	1
agriculture-canada	1	Agriculture Canada	1
agrimedia	1	Agrimedia	1
agritech-consultants-inc	1	Agritech Consultants, Inc.	1
agroinform	1	Agroinform	1
ahmedabed-textile-industrys-research-association	1	Ahmedabed Textile Industry's Research Association	1
ahmet-yesevi-universitesi	1	Ahmet Yesevi Universitesi	1
ahro-scientific-publishing	1	Ahro Scientific Publishing	1
ai-applications	1	AI Applications	1
aichi-medical-university-library	1	Aichi Medical University Library	1
aids-policy-research-group-and-pro-bono-medica-medica-publishers-ltd	1	Aids Policy Research Group and Pro Bono Medica Medica Publishers Ltd	1
aids-regional-health-promotion-resource-centre	1	AIDS Regional Health Promotion Resource Centre	1
aids-survival-project	1	AIDS Survival Project	1
aids-treatment-data-network	1	AIDS Treatment Data Network	1
aims-press	7	AIMS Press	1
ain-shams-university	3	Ain Shams University	1
aiqua-associazione-italiana-per-lo-studio-del-quaternario	1	AIQUA - Associazione Italiana per lo Studio del Quaternario	1
air-force-association	1	Air Force Association	1
air-pollution-control-association-apca	2	Air Pollution Control Association (APCA)	1
air-waste-management-association	1	Air & Waste Management Association	1
airiti-incorporation	1	Airiti Incorporation	1
aitana-research-group	1	Aitana Research Group	1
aiub-office-of-research-and-publication	1	AIUB Office of Research and Publication	1
ajeam-ragee	1	AJEAM-RAGEE	1
akademi-doktorlar-yayinevi	1	Akademi Doktorlar Yayinevi	1
akademi-sains-malaysia	1	Akademi Sains Malaysia	1
akademia-gorniczo-hutnicza-im-s-staszica-w-krakowie	1	Akademia Gorniczo-Hutnicza im. S. Staszica w Krakowie.	1
akademia-medyczna-w-gdansku	1	Akademia Medyczna w Gdansku	1
akademia-medyczna-we-wroclawiu-wroclaw-medical-university	1	Akademia Medyczna we Wroclawiu/Wroclaw Medical University	1
akademia-wychowania-fizycznego-i-sportu	1	Akademia Wychowania Fizycznego i Sportu	1
akademia-wychowania-fizycznego-we-wroclawiu	1	Akademia Wychowania Fizycznego we Wroclawiu	1
akademiai-kiado	86	Akademiai Kiado	1
akademichno-izdatelstvo-prof-marin-drinov	1	Akademichno izdatelstvo Prof. Marin Drinov	1
akademie-ved-ceske-republiky	16	Akademie Ved Ceske Republiky	1
akademie-verlag	10	Akademie Verlag	1
akademiia-nauk-sssr	3	Akademiia Nauk Sssr	1
akademiia-pedagogicheskikh-nauk-rsfsr	1	Akademiia pedagogicheskikh nauk RSFSR	1
akademika-forlag	3	Akademika Forlag	1
akademische-verlagsgesellschaft	4	Akademische Verlagsgesellschaft	1
akademiya-nauk-uzbekistana	1	Akademiya Nauk Uzbekistana	1
akdeniz-universitesi-akdeniz-dillerini-ve-kulturlerini-arastirma-merkezi	1	Akdeniz Universitesi - Akdeniz Dillerini ve Kulturlerini Arastırma Merkezi	1
akdeniz-university-publishing-hous	1	Akdeniz University Publishing Hous	1
aks-publication	1	AKS Publication	1
aktiv-druck-and-verlag-gmbh	1	Aktiv Druck and Verlag GmbH	1
alabama-dental-association	1	Alabama Dental Association	1
alabama-hospital-association	1	Alabama Hospital Association	1
alad-ltd	1	Alad Ltd	1
alain-charles-publishing-ltd	2	Alain Charles Publishing Ltd	1
alaken-inc	1	Alaken Inc.	1
alan-guttmacher-institute	7	Alan Guttmacher Institute	1
alan-jacobs	1	Alan Jacobs	1
alaska-anthropological-association	1	Alaska Anthropological Association	1
alaska-department-of-fish-and-game-division-of-commercial-fisheries	1	Alaska Department of Fish and Game, Division of commercial Fisheries	1
alaska-state-medical-association	1	Alaska State Medical Association	1
albanian-society-for-the-study-of-english	1	Albanian Society for the Study of English	1
albany-law-school	1	Albany Law School	1
albert-einstein-college-of-medicine-of-yeshiva-university	1	Albert Einstein College of Medicine of Yeshiva University	1
albert-ludwigs-universitat	1	Albert-Ludwigs-Universitat	1
alberta-association-of-registered-nurses	2	Alberta Association of Registered Nurses	1
alcatel	1	Alcatel	1
alcatel-alsthom-publ	2	Alcatel Alsthom publ	1
alcohol-and-drugs-history-society	1	Alcohol and Drugs History Society	1
alcohol-research-documentation-inc	1	Alcohol Research Documentation, Inc.	1
aldrich-chemical-co	1	Aldrich Chemical Co.	1
