scopus_id	issn_type	issn	linking_issn
12167	print	0173-9565	0173-9565
12168	print	0735-6773	0735-6773
12169	electronic	1616-1599	0171-8630
12169	print	0171-8630	0171-8630
12170	print	0332-7353	0332-7353
12171	print	0020-2967	0020-2967
12172	electronic	1432-0894	0930-7575
12172	print	0930-7575	0930-7575
12174	print	0028-1522	0028-1522
12175	electronic	1616-1572	0936-577X
12175	print	0936-577X	0936-577X
12177	electronic	1573-1480	0165-0009
12177	print	0165-0009	0165-0009
12178	print	0733-8724	0733-8724
12179	print	0022-2313	0022-2313
12180	print	1537-1646	1537-1646
12181	electronic	1362-3044	0950-0340
12181	print	0950-0340	0950-0340
12182	electronic	1096-083X	0022-2852
12182	print	0022-2852	0022-2852
12183	print	0218-8635	0218-8635
12184	electronic	1091-0786	1070-9762
12184	print	1070-9762	1070-9762
12185	electronic	0974-6900	0974-6900
12185	print	0972-8821	0974-6900
12186	print	1297-319X	1297-319X
12187	print	0993-9857	0993-9857
12188	print	1046-8781	1046-8781
12189	print	1569-190X	1569-190X
12190	electronic	1469-9036	0959-2598
12190	print	0959-2598	0959-2598
12191	electronic	1532-8406	0883-5403
12191	print	0883-5403	0883-5403
12192	print	1053-8127	1053-8127
12193	print	0735-9276	0735-9276
12194	print	0211-139X	0211-139X
12195	print	1139-0921	1139-0921
12196	print	1064-3745	1064-3745
12197	print	0740-6797	0740-6797
12198	print	0021-9355	0021-9355
12199	print	0397-7927	0397-7927
12200	print	0094-7474	0094-7474
12201	print	0301-620X	0301-620X
12202	print	0966-9795	0966-9795
12203	print	0254-2307	0254-2307
12204	print	1364-0461	1364-0461
12205	electronic	1361-6617	0963-9659
12205	print	1464-4258	1464-4258
12206	electronic	1741-3575	1464-4266
12206	print	1464-4266	1464-4266
12207	print	0022-4073	0022-4073
12208	print	0368-7147	0368-7147
12209	electronic	1469-803X	0263-0346
12209	print	0263-0346	0263-0346
12210	print	1043-8092	1043-8092
12211	print	0884-0431	0884-0431
12212	print	0883-9441	0883-9441
12213	print	0734-2071	0734-2071
12214	print	0736-4679	0736-4679
12215	print	1082-1821	1082-1821
12216	electronic	1537-1719	0737-4038
12216	print	0737-4038	0737-4038
12217	electronic	0219-1032	1016-8478
12217	print	1016-8478	1016-8478
12218	electronic	1550-509X	0885-9701
12218	print	0885-9701	0885-9701
12219	print	0263-4368	0263-4368
12219	print	0958-0611	0958-0611
12220	electronic	1573-2657	0142-4319
12220	print	0142-4319	0142-4319
12221	print	1561-8625	1561-8625
12222	print	1058-6393	1058-6393
12223	electronic	1363-0296	1350-4630
12223	print	1350-4630	1350-4630
12225	electronic	1555-6611	1054-660X
12225	print	1054-660X	1054-660X
12226	print	0937-7069	0937-7069
12227	electronic	1029-029X	0898-1507
12227	print	0898-1507	0898-1507
12228	electronic	1543-8694	0886-0467
12228	print	0886-0467	0886-0467
12229	electronic	1098-2787	0277-7037
12229	print	0277-7037	0277-7037
12232	electronic	1540-7012	1058-2452
12232	print	1058-2452	1058-2452
12233	print	1026-3543	1026-3543
12234	print	0218-9577	0218-9577
12235	print	0897-7151	0897-7151
12236	electronic	1615-6714	1434-5293
12236	print	1434-5293	1434-5293
12237	print	1320-0682	1320-0682
12239	print	0736-0266	0736-0266
12240	electronic	1436-2023	0949-2658
12240	print	0949-2658	0949-2658
12241	print	0308-9142	0308-9142
12242	print	0096-0128	0096-0128
12243	print	0099-6874	0099-6874
12244	electronic	1540-4064	0897-7186
12244	print	0897-7186	0897-7186
12245	electronic	1538-151X	1538-1501
12245	print	1538-1501	1538-1501
12246	print	1545-2255	1545-2255
12247	print	1091-1359	1091-1359
12248	print	1462-4567	1462-4567
12249	print	1355-2198	1355-2198
12250	electronic	1098-2760	0895-2477
12250	print	0895-2477	0895-2477
12252	electronic	1741-3850	1741-3842
12252	print	1741-3842	1741-3842
12253	print	0163-7169	0163-7169
12255	electronic	2309-4990	1022-5536
12255	print	1022-5536	1022-5536
12256	print	0008-1973	0008-1973
12257	print	0890-5339	0890-5339
12259	electronic	1590-9999	1590-9921
12259	print	1590-9921	1590-9921
12260	electronic	1539-2570	0271-6798
12260	print	0271-6798	0271-6798
12261	print	1060-152X	1060-152X
12262	electronic	1572-8102	0925-9856
12262	print	0925-9856	0925-9856
12263	print	1040-8800	1040-8800
12264	print	0167-739X	0167-739X
12265	electronic	1938-1352	0748-7711
12265	print	0748-7711	0748-7711
12266	electronic	1539-2465	1536-0652
12266	print	1536-0652	1536-0652
12267	print	0073-1129	0073-1129
12267	print	1060-3425	1060-3425
12268	print	1547-0423	1547-0423
12269	print	1541-4922	1541-4922
12270	print	0021-3438	0021-3438
12271	print	0257-6708	0257-6708
12272	print	1650-1977	1650-1977
12273	print	1650-1969	1650-1969
12274	print	0376-0421	0376-0421
12275	print	0079-6050	0079-6050
12276	print	0313-6922	0313-6922
12277	electronic	1096-1224	1044-5005
12277	print	1044-5005	1044-5005
12278	electronic	1361-6668	0953-2048
12278	print	0953-2048	0953-2048
12281	print	1012-1080	1012-1080
12282	electronic	1469-7823	0047-2794
12282	print	0047-2794	0047-2794
12283	electronic	1540-7314	0148-8376
12283	print	0148-8376	0148-8376
12284	print	0039-6028	0039-6028
12286	print	0167-5729	0167-5729
12287	print	0142-2413	0142-2413
12288	print	1543-0537	1543-0537
12289	print	0078-5466	0078-5466
12290	print	0168-6240	0168-6240
12292	print	0022-5274	0022-5274
12294	print	1063-2204	1063-2204
12295	print	1174-0043	1174-0043
12296	electronic	1533-2896	1533-2888
12296	print	1533-2888	1533-2888
12299	print	0969-0700	0969-0700
12300	print	1063-8210	1063-8210
12301	print	1348-0677	1348-0677
12302	electronic	1543-1851	1047-4838
12302	print	1047-4838	1047-4838
12303	print	0378-7206	0378-7206
12305	print	0306-4379	0306-4379
12306	electronic	1880-6880	0021-4876
12306	print	0021-4876	0021-4876
12307	print	0412-1961	0412-1961
12308	print	1043-7797	1043-7797
12309	electronic	1465-3885	0265-0533
12309	print	0265-0533	0265-0533
12310	electronic	1090-6525	1063-7842
12310	print	1063-7842	1063-7842
12311	electronic	1090-6533	1063-7850
12311	print	1063-7850	1063-7850
12312	print	0733-6535	0733-6535
12313	electronic	1572-817X	0306-8919
12313	print	0306-8919	0306-8919
12316	print	0091-3286	0091-3286
12317	electronic	1095-9912	1068-5200
12317	print	1068-5200	1068-5200
12318	print	0925-3467	0925-3467
12319	print	1340-6000	1340-6000
12320	electronic	1520-8532	1084-7529
12320	print	0740-3232	0740-3232
12320	print	1084-7529	1084-7529
12321	electronic	1365-2575	1350-1917
12321	print	1350-1917	1350-1917
12323	print	1098-8068	1098-8068
12324	print	0267-6192	0267-6192
12325	print	0925-8388	0925-8388
12326	print	1466-8858	1466-8858
12327	print	1547-7029	1547-7029
12328	print	0011-393X	0011-393X
12329	electronic	2210-3988	2210-3988
12329	print	1006-706X	2210-3988
12330	print	1005-0302	1005-0302
12331	print	1568-0266	1568-0266
12332	print	0925-7535	0925-7535
12333	print	1547-7037	1547-7037
12334	print	0070-2188	0070-2188
12335	print	0040-3644	0040-3644
12336	electronic	1097-0207	0029-5981
12336	print	0029-5981	0029-5981
12337	print	0218-1274	0218-1274
12340	electronic	1573-9333	0040-5779
12340	print	0040-5779	0040-5779
12341	print	0740-3224	0740-3224
12342	print	0020-7179	0020-7179
12344	print	0355-3140	0355-3140
12345	print	0949-149X	0949-149X
12346	print	0030-3992	0030-3992
12347	print	0040-6090	0040-6090
12348	print	0143-8166	0143-8166
12349	print	0020-7225	0020-7225
12350	electronic	1541-3721	1047-6938
12350	print	1047-6938	1047-6938
12351	electronic	1562-6911	0030-400X
12351	print	0030-400X	0030-400X
12352	print	0030-4018	0030-4018
12353	print	1496-399X	1496-399X
12354	electronic	1474-5488	1470-2045
12354	print	1470-2045	1470-2045
12355	print	0077-6033	0077-6033
12356	electronic	1827-1707	0394-3410
12356	print	0394-3410	0394-3410
12357	print	0031-6229	0031-6229
12358	print	1562-2479	1562-2479
12360	print	0308-1079	0308-1079
12361	print	0300-8142	0300-8142
12363	print	1063-7389	1063-7389
12364	print	1017-1819	1017-1819
12365	print	0829-3201	0829-3201
12366	print	0099-1112	0099-1112
12367	print	0031-868X	0031-868X
12369	print	1002-0721	1002-0721
12370	electronic	1090-2724	0022-0000
12370	print	0022-0000	0022-0000
12372	print	0094-5765	0094-5765
12373	print	0887-4417	0887-4417
12375	print	0273-1177	0273-1177
12376	print	0065-3438	0065-3438
12376	print	1081-6003	1081-6003
12377	print	0451-5994	0451-5994
12378	electronic	1662-9795	1013-9826
12378	print	0252-1059	0252-1059
12378	print	1013-9826	1013-9826
12380	print	0040-8808	0040-8808
12381	print	0084-9588	0084-9588
12382	print	0191-6319	0191-6319
12383	print	0734-743X	0734-743X
12384	print	0303-4216	0303-4216
12385	print	0169-8141	0169-8141
12386	print	1043-1721	1043-1721
12387	print	0306-4190	0306-4190
12388	electronic	1532-2424	0041-1450
12388	print	0041-1450	0041-1450
12389	electronic	1303-6122	1300-0101
12389	print	1300-0101	1300-0101
12390	print	0832-8781	0832-8781
12391	print	0169-5002	0169-5002
12392	print	1539-6851	1539-6851
12394	electronic	1545-9985	1545-9985
12394	print	1545-9993	1545-9985
12395	print	1088-937X	1088-937X
12396	print	0963-8687	0963-8687
12397	electronic	1475-3057	0032-2474
12397	print	0032-2474	0032-2474
12398	print	1383-7621	1383-7621
12400	print	0903-4641	0903-4641
12402	print	0276-7783	0276-7783
12403	print	1357-0560	1357-0560
12404	print	0021-5325	0021-5325
12406	print	1612-8591	1612-8591
12408	print	1434-6222	1434-6222
12409	electronic	1573-0824	0923-6082
12409	print	0923-6082	0923-6082
12410	print	0258-1248	0258-1248
12411	print	0167-9228	0167-9228
12412	electronic	1550-2414	0882-7524
12412	print	0882-7524	0882-7524
12414	print	0065-7425	
12414	print	0278-4017	0278-4017
12415	print	0218-5393	0218-5393
12416	print	0011-7781	0011-7781
12417	print	0747-6108	0747-6108
12419	electronic	1464-5319	0020-7721
12419	print	0020-7721	0020-7721
12421	electronic	1436-4948	1434-9728
12421	print	1434-9728	1434-9728
12423	print	0070-4113	0070-4113
12424	electronic	1741-5985	1741-5977
12424	print	1741-5977	1741-5977
12425	electronic	1600-5503	0903-465X
12425	print	0903-465X	0903-465X
12426	print	0008-5030	0008-5030
12427	print	0960-8931	0960-8931
12428	print	1631-0691	1631-0691
12429	print	1476-4598	1476-4598
12430	print	1541-7786	1541-7786
12431	print	0208-4589	0208-4589
12434	print	1048-6666	1048-6666
12435	print	1535-7163	1535-7163
12437	electronic	1098-2744	0899-1987
12437	print	0899-1987	0899-1987
12439	electronic	1433-0431	0085-4530
12439	print	0085-4530	0085-4530
12440	electronic	1467-9272	0033-0124
12440	print	0033-0124	0033-0124
12441	electronic	1573-1324	1230-1612
12441	print	1230-1612	1230-1612
12442	electronic	1477-0288	0309-1325
12442	print	0309-1325	0309-1325
12443	electronic	1573-1383	0922-6443
12443	print	0922-6443	0922-6443
12444	print	0001-9240	0001-9240
12445	electronic	3002-1472	
12445	print	0012-0472	0012-0472
12446	electronic	1439-4359	0415-6412
12446	print	0415-6412	0415-6412
12448	print	0012-1207	0012-1207
12450	print	0740-722X	0740-722X
12452	print	0034-0111	0034-0111
12453	print	0236-5383	0236-5383
12454	electronic	2029-0586	0235-7224
12454	print	0235-7224	0235-7224
12455	electronic	1525-0024	1525-0016
12455	print	1525-0016	1525-0016
12456	electronic	1572-8358	0001-5342
12456	print	0001-5342	0001-5342
12457	print	0309-1333	0309-1333
12458	electronic	1617-3538	0941-2530
12458	print	0941-2530	0941-2530
12459	print	0027-8874	0027-8874
12460	print	0033-2143	0033-2143
12461	print	1052-6773	1052-6773
12462	print	0008-7262	0008-7262
12464	print	1474-175X	1474-175X
12465	electronic	2081-6383	2082-2103
12465	print	0137-477X	0137-477X
12468	print	1011-6877	1011-6877
12469	print	0030-5898	0030-5898
12470	print	0736-2536	0736-2536
12471	print	1052-9551	1052-9551
12472	print	1001-9669	1001-9669
12473	print	0387-821X	0387-821X
12474	print	1110-1903	1110-1903
12478	print	0042-1294	0042-1294
12479	electronic	1466-1837	0954-4828
12479	print	0954-4828	0954-4828
12480	print	1051-9815	1051-9815
12481	electronic	2168-9830	1069-4730
12481	print	1069-4730	1069-4730
12482	print	0301-1798	0301-1798
12484	print	0011-5029	0011-5029
12485	electronic	1573-2703	0022-0833
12485	print	0022-0833	0022-0833
12486	print	1093-507X	1093-507X
12487	print	0747-9964	0747-9964
12489	print	0042-207X	0042-207X
12490	electronic	1095-8622	0889-9746
12490	print	0889-9746	0889-9746
12491	electronic	1522-2454	0947-076X
12491	print	0947-076X	0947-076X
12492	print	1016-2364	1016-2364
12493	print	1146-609X	1146-609X
12494	print	0008-8137	0008-8137
12495	electronic	1476-5586	1476-5586
12495	print	1522-8002	1476-5586
12496	print	1415-6814	1415-6814
12497	print	0212-9787	0212-9787
12498	print	0028-2685	0028-2685
12499	print	1522-8517	1522-8517
12501	print	0034-3293	0034-3293
12503	print	0034-4257	0034-4257
12504	print	1001-4179	1001-4179
12505	electronic	1543-5237	0367-0244
12505	print	0367-0244	0367-0244
12506	print	1088-3371	1088-3371
12507	print	1270-9638	1270-9638
12508	print	1173-8790	1173-8790
12509	print	1092-0617	1092-0617
12510	print	1266-0167	1266-0167
12511	print	0944-2502	0944-2502
12512	print	0742-597X	0742-597X
12513	print	1001-9391	1001-9391
12514	print	0031-1138	0031-1138
12515	print	1071-2836	1071-2836
12516	print	0031-1227	0031-1227
12517	print	0165-2125	0165-2125
12518	print	0959-7174	0959-7174
12519	print	0301-5556	0301-5556
12520	print	0029-540X	0029-540X
12521	print	0890-5215	0890-5215
12522	print	0065-2881	0065-2881
12523	print	0950-9232	0950-9232
12524	print	1608-5914	1608-5914
12525	print	0378-4835	0378-4835
12528	electronic	1365-2028	0141-6707
12528	print	0141-6707	0141-6707
12530	print	1292-3818	1292-3818
12531	electronic	1549-490X	1083-7159
12531	print	1083-7159	1083-7159
12537	print	1097-1963	1097-1963
12538	print	0954-3007	0954-3007
12539	electronic	1436-6215	1436-6207
12539	print	1436-6207	1436-6207
12541	print	0385-5023	0385-5023
12542	print	1047-5192	1047-5192
12545	print	0214-0659	0214-0659
12547	electronic	1479-828X	0004-8666
12547	print	0004-8666	0004-8666
12548	print	1000-3290	1000-3290
12549	electronic	1471-0528	1470-0328
12549	print	1470-0328	1470-0328
12550	print	1471-2393	1471-2393
12551	print	1521-6934	1521-6934
