scopus_id	issn_type	issn	linking_issn
27087	print	1075-2765	1075-2765
27089	print	0002-4317	0002-4317
27094	electronic	1475-5890	0143-5671
27094	print	0143-5671	0143-5671
27095	print	1041-2972	1041-2972
27096	print	0891-0162	0891-0162
27097	print	0065-1257	0065-1257
27098	print	1062-3264	1062-3264
27099	print	1581-8314	1581-6613
27100	electronic	2336-1980	0300-5402
27100	print	0300-5402	0300-5402
27103	print	0591-2776	0591-2776
27105	print	0035-1776	0035-1776
27106	print	0035-2209	0035-2209
27111	electronic	1439-0272	0303-4569
27111	print	0303-4569	0303-4569
27112	print	0916-8753	0916-8753
27113	print	1166-2654	1166-2654
27115	print	0002-936X	0002-936X
27117	print	0098-1486	0098-1486
27121	print	0739-6686	0739-6686
27122	electronic	1532-8201	0897-1897
27122	print	0897-1897	0897-1897
27123	electronic	1532-8228	0883-9417
27123	print	0883-9417	0883-9417
27124	electronic	1532-5725	1078-3903
27124	print	1078-3903	1078-3903
27128	print	0023-7930	0023-7930
27129	print	0048-8143	0048-8143
27130	print	0079-6727	0079-6727
27131	electronic	1783-1768	0035-3841
27131	print	0035-3841	0035-3841
27132	print	0021-4027	0021-4027
27133	electronic	2421-5864	0035-6212
27133	print	0035-6212	0035-6212
27135	electronic	2612-1042	0035-6239
27135	print	0035-6239	0035-6239
27137	electronic	1572-9478	0923-2958
27137	print	0923-2958	0923-2958
27138	print	1592-5986	1592-5986
27139	print	1036-7314	1036-7314
27140	electronic	1447-4328	0813-0531
27140	print	0813-0531	0813-0531
27141	print	1322-8803	1322-8803
27142	print	0019-4646	0019-4646
27148	electronic	2450-002X	0035-7685
27148	print	0035-7685	0035-7685
27149	print	0275-1062	0275-1062
27150	print	1009-9271	1009-9271
27154	print	0834-7824	0834-7824
27155	print	1472-6955	1472-6955
27157	print	1474-0893	1474-0893
27158	print	1462-4753	1462-4753
27159	electronic	1469-8412	1351-1610
27159	print	1351-1610	1351-1610
27160	electronic	1573-9120	0033-8443
27160	print	0033-8443	0033-8443
27161	print	1477-3724	1477-3724
27162	electronic	1537-2707	0735-0015
27162	print	0735-0015	0735-0015
27163	electronic	1608-3415	1063-7397
27163	print	1063-7397	1063-7397
27164	print	0970-3888	0970-3888
27165	electronic	2328-8175	0022-0515
27165	print	0022-0515	0022-0515
27167	electronic	1606-0180	1563-311X
27167	print	1563-311X	1563-311X
27168	print	1071-2984	1071-2984
27169	print	1099-8004	1099-8004
27170	print	0966-0461	0966-0461
27171	print	1467-1026	1467-1026
27172	electronic	1468-2257	0017-4815
27172	print	0017-4815	0017-4815
27173	print	1498-5136	1498-5136
27175	print	1529-8930	1529-8930
27178	print	0163-3767	0163-3767
27179	print	0379-6566	0379-6566
27181	electronic	1573-0794	0167-9295
27181	print	0167-9295	0167-9295
27182	electronic	1881-7122	0007-5124
27182	print	1341-1357	0007-5124
27184	print	0843-6096	0843-6096
27185	print	1481-9643	1481-9643
27186	print	0844-5621	0844-5621
27187	electronic	1095-8533	1045-926X
27187	print	1045-926X	1045-926X
27188	print	1094-3501	1094-3501
27190	electronic	1573-0573	0922-6567
27190	print	0922-6567	0922-6567
27191	electronic	1361-6641	0268-1242
27191	print	0268-1242	0268-1242
27192	print	0285-0362	0285-0362
27193	print	1121-8142	1121-8142
27194	print	1181-912X	1181-912X
27195	electronic	1572-9508	0922-6435
27195	print	0922-6435	0922-6435
27196	print	0712-6778	0712-6778
27197	print	0162-220X	0162-220X
27198	print	1528-4336	1528-4336
27200	print	0885-0615	0885-0615
27201	print	1521-0987	1938-9019
27202	electronic	2075-1729	2075-1729
27202	print	0024-3019	0024-3019
27204	electronic	1464-5300	1364-5579
27204	print	1364-5579	1364-5579
27205	electronic	1604-7982	1604-7982
27206	print	0038-1101	0038-1101
27207	electronic	1464-5297	0269-1728
27207	print	0269-1728	0269-1728
27208	electronic	1471-6437	0265-0525
27208	print	0265-0525	0265-0525
27209	print	0038-111X	0038-111X
27210	print	0258-851X	0258-851X
27211	electronic	1471-6348	0266-4623
27211	print	0266-4623	0266-4623
27212	print	0738-467X	0738-467X
27213	print	0069-2778	0069-2778
27214	print	1526-9914	1526-9914
27215	electronic	1619-0904	1434-7229
27215	print	1434-7229	1434-7229
27217	electronic	1468-2451	0020-8701
27217	print	0020-8701	0020-8701
27219	print	1361-9004	1361-9004
27220	print	1085-2360	1085-2360
27223	electronic	1548-9957	0024-7413
27223	print	0024-7413	0024-7413
27224	print	0037-802X	0037-802X
27226	electronic	1098-2825	0887-8013
27226	print	0887-8013	0887-8013
27227	print	0939-8600	0939-8600
27228	electronic	1532-6543	0022-2143
27228	print	0022-2143	0022-2143
27230	electronic	1349-6867	1343-1420
27230	print	1343-1420	1343-1420
27231	print	0869-2084	0869-2084
27232	print	0093-7355	0093-7355
27234	electronic	1439-0477	0342-3026
27234	print	0342-3026	0342-3026
27236	print	0039-3185	0039-3185
27237	print	1063-6692	1063-6692
27239	print	0890-8044	0890-8044
27241	electronic	1090-2643	0019-1035
27241	print	0019-1035	0019-1035
27242	electronic	1530-0307	0023-6837
27242	print	0023-6837	0023-6837
27243	print	0007-5027	0007-5027
27248	print	0749-6877	0749-6877
27249	print	0023-432X	0023-432X
27252	print	0580-7247	0580-7247
27253	electronic	2158-2459	0081-9557
27253	print	0081-9557	0081-9557
27254	print	1615-1615	1615-1615
27255	print	8756-1263	8756-1263
27256	electronic	1096-1194	0890-8508
27256	print	0890-8508	0890-8508
27258	print	1087-688X	1087-688X
27260	print	0024-3345	0024-3345
27261	print	0147-0809	0147-0809
27262	print	0024-449X	0024-449X
27264	print	0938-1643	0938-1643
27267	print	0041-2538	0041-2538
27268	print	0003-5769	0003-5769
27269	print	0026-0797	0026-0797
27270	print	0935-7254	0935-7254
27273	print	1092-8235	1092-8235
27275	print	0926-6801	0926-6801
27276	print	1592-3479	1592-3479
27277	electronic	1095-8592	1084-8045
27277	print	1084-8045	1084-8045
27278	print	0339-722X	0339-722X
27280	print	0085-591X	0085-591X
27281	electronic	2002-0112	2002-0112
27281	print	0901-3393	0901-3393
27282	print	1438-387X	1438-387X
27285	print	0021-8294	0021-8294
27286	electronic	2191-0219	0792-1241
27286	print	0792-1241	0792-1241
27287	electronic	1573-7705	1064-7570
27287	print	1064-7570	1064-7570
27289	print	1044-5803	1044-5803
27290	print	0883-2900	0883-2900
27297	print	0341-0129	0341-0129
27298	electronic	1095-9289	1054-3139
27298	print	1054-3139	1054-3139
27300	print	0379-5136	0379-5136
27301	print	1066-7857	1066-7857
27302	electronic	1347-5320	1345-9678
27302	print	1345-9678	1345-9678
27303	print	0967-8638	0967-8638
27304	electronic	1521-4052	0933-5137
27304	print	0933-5137	0933-5137
27306	electronic	1572-8153	1383-469X
27306	print	1383-469X	1383-469X
27309	print	0078-9682	0078-9682
27310	print	0953-9468	0953-9468
27312	print	1000-5188	1000-5188
27313	print	0037-3834	0037-3834
27314	print	0969-0174	0969-0174
27316	print	0026-0576	0026-0576
27317	print	0937-7255	0937-7255
27318	electronic	1361-6536	0954-898X
27318	print	0954-898X	0954-898X
27319	print	0111-199X	0111-199X
27320	print	1048-3802	1048-3802
27322	electronic	2162-3937	0022-0558
27322	print	0022-0558	0022-0558
27324	print	1610-2924	1610-2924
27325	print	0074-0195	0074-0195
27327	print	0008-4298	0008-4298
27328	print	1542-3050	1542-3050
27330	electronic	1573-8973	0026-0673
27330	print	0026-0673	0026-0673
27331	print	0026-0746	0026-0746
27332	print	1539-8137	1539-8137
27333	print	0278-5927	0278-5927
27334	print	1353-4858	1353-4858
27335	print	0037-3931	0037-3931
27336	print	0126-5539	0126-5539
27339	electronic	1573-6571	0022-4197
27339	print	0022-4197	0022-4197
27341	electronic	1467-9795	0384-9694
27341	print	0384-9694	0384-9694
27343	electronic	1469-9451	1369-183X
27343	print	1369-183X	1369-183X
27344	print	0730-2614	0730-2614
27347	print	1024-1809	1024-1809
27348	print	0026-0819	0026-0819
27349	print	0026-0843	0026-0843
27351	print	0867-7905	0867-7905
27355	print	0025-1496	0025-1496
27356	print	1073-5623	1073-5623
27357	print	0360-2141	0360-2141
27357	print	1073-5615	1073-5615
27358	electronic	1740-7869	1361-4576
27358	print	1361-4576	1361-4576
27359	electronic	1606-6294	1606-6286
27359	print	0543-5749	0543-5749
27360	electronic	1573-8892	0026-0894
27360	print	0026-0894	0026-0894
27362	print	0081-1661	0081-1661
27364	electronic	1728-4457	0098-7921
27364	print	0098-7921	0098-7921
27365	electronic	1564-698X	0258-6770
27365	print	0258-6770	0258-6770
27366	print	1084-6786	1084-6786
27368	print	0032-468X	0032-468X
27370	electronic	1438-390X	1438-3896
27370	print	1438-3896	1438-3896
27371	print	0184-7783	0184-7783
27372	print	1400-0350	1400-0350
27373	print	0256-5331	0256-5331
27374	electronic	1551-5036	0749-0208
27374	print	0749-0208	0749-0208
27375	electronic	1029-4902	0232-9298
27375	print	0232-9298	0232-9298
27376	print	1598-9623	1598-9623
27379	print	0970-423X	0970-423X
27385	print	0252-3639	0252-3639
27387	electronic	1573-7829	0167-5923
27387	print	0167-5923	0167-5923
27388	print	1000-0569	1000-0569
27390	print	0030-851X	0030-851X
27391	print	1544-8444	1544-8444
27392	electronic	1477-4747	0032-4728
27392	print	0082-805X	0082-805X
27394	print	0307-4463	0307-4463
27395	print	0731-5082	0731-5082
27397	print	0044-2259	0044-2259
27398	print	0372-8854	0372-8854
27401	electronic	1095-7219	0040-585X
27401	print	0040-585X	0040-585X
27402	print	0041-0683	0041-0683
27404	print	0103-9733	0103-9733
27409	electronic	1587-1037	1217-8977
27409	print	1217-8977	1217-8977
27412	print	0001-5725	0001-5725
27414	print	0040-8735	0040-8735
27415	print	0040-9383	0040-9383
27416	print	0166-8641	0166-8641
27417	electronic	1531-586X	1083-4362
27417	print	1083-4362	1083-4362
27418	print	0361-1981	0361-1981
27420	electronic	1208-6045	0008-4204
27420	print	0008-4204	0008-4204
27421	print	1000-9116	1000-9116
27423	print	0065-2687	0065-2687
27424	electronic	1432-0576	0992-7689
27424	print	0992-7689	0992-7689
27426	print	1593-5213	1593-5213
27428	print	1300-0098	1300-0098
27430	electronic	1089-7682	1054-1500
27430	print	1054-1500	1054-1500
27432	print	0256-307X	0256-307X
27433	print	0264-9381	0264-9381
27434	print	0017-9973	0017-9973
27435	print	1531-0183	1531-0183
27436	print	1009-1963	1009-1963
27437	electronic	1432-0916	0010-3616
27437	print	0010-3616	0010-3616
27439	print	0067-9038	0067-9038
27440	print	0765-0752	0765-0752
27441	print	0006-6729	0006-6729
27443	print	0392-4033	0392-4033
27444	print	0392-4041	0392-4041
27446	print	0044-118X	0044-118X
27449	print	0303-4135	0303-4135
27452	print	0517-8606	0517-8606
27453	print	0253-6102	0253-6102
27454	electronic	1568-5543	0927-6440
27454	print	0927-6440	0927-6440
27455	print	0066-2240	0066-2240
27456	electronic	1469-9982	1040-2659
27456	print	1040-2659	1040-2659
27457	electronic	1366-5812	0010-7514
27457	print	0010-7514	0010-7514
27458	electronic	1521-3986	0863-1042
27458	print	0863-1042	0863-1042
27459	electronic	1432-0819	0258-8900
27459	print	0258-8900	0258-8900
27460	print	0017-5994	0017-5994
27461	print	1420-6811	1420-6811
27462	print	1018-8843	1018-8843
27463	print	0341-8677	0341-8677
27464	print	0003-4010	0003-4010
27465	print	0137-1983	0137-1983
27466	electronic	1423-002X	0378-7346
27466	print	0378-7346	0378-7346
27467	electronic	1095-6859	0090-8258
27467	print	0090-8258	0090-8258
27470	electronic	1467-8330	0066-4812
27470	print	0066-4812	0066-4812
27471	print	0143-6228	0143-6228
27472	print	0940-9602	0940-9602
27473	electronic	1532-4796	0883-6612
27473	print	0883-6612	0883-6612
27474	electronic	1521-6047	
27474	print	0090-6964	0090-6964
27475	electronic	1532-8198	1092-9134
27475	print	1092-9134	1092-9134
27476	print	1040-8436	0161-1593
27477	print	1567-1739	1567-1739
27479	electronic	1544-1717	1544-1709
27479	print	1544-1709	1544-1709
27480	electronic	1572-9486	0011-4626
27480	print	0011-4626	0011-4626
27481	print	0073-506X	0073-506X
27484	print	1297-9589	1297-9589
27485	print	0373-7187	0373-7187
27486	electronic	1475-4762	0004-0894
27486	print	0004-0894	0004-0894
27487	print	1464-7273	1464-7273
27488	print	0025-5858	0025-5858
27489	print	1022-5706	1022-5706
27490	print	0004-5322	0004-5322
27492	electronic	1467-8306	0004-5608
27492	print	0004-5608	0004-5608
27493	print	1300-0683	1300-0683
27494	print	1007-4112	1007-4112
27495	electronic	0975-4466	0256-4947
27495	print	0256-4947	0256-4947
27496	print	1001-7372	1001-7372
27497	print	1517-3011	1517-3011
27498	electronic	1545-326X	0066-4219
27498	print	0066-4219	0066-4219
27502	electronic	1562-6903	1028-3358
27502	print	1028-3358	1028-3358
27504	print	0032-342X	0032-342X
27505	electronic	1460-2350	0268-1161
27505	print	0268-1161	0268-1161
27506	print	0374-6291	0374-6291
27507	electronic	1098-0997	1064-7449
27507	print	1064-7449	1064-7449
27508	print	0840-9331	0840-9331
27509	print	0190-3187	0190-3187
27511	electronic	1465-3311	0004-9182
27511	print	0004-9182	0004-9182
27514	print	1523-0864	1523-0864
27515	print	1172-028X	1172-028X
27516	print	1175-5652	1175-5652
27518	electronic	1525-1438	1048-891X
27518	print	1048-891X	1048-891X
27519	electronic	1538-7151	0277-1691
27519	print	0277-1691	0277-1691
27521	print	0020-7292	0020-7292
27522	print	0020-6814	0020-6814
27523	print	0959-289X	0959-289X
27524	print	0166-5162	0166-5162
27525	electronic	1433-3023	0937-3462
27525	print	0937-3462	0937-3462
27526	electronic	1467-8470	0004-9190
27526	print	0004-9190	0004-9190
27527	print	0005-0326	0005-0326
27528	print	1121-8339	1121-8339
27531	print	0067-2807	0067-2807
27532	print	0950-1487	0950-1487
27535	print	1075-0592	1075-0592
27536	print	0143-0807	0143-0807
27537	electronic	1521-0375	0148-5016
27537	print	0148-5016	0148-5016
27538	print	0360-1285	0360-1285
27539	print	1029-2977	1029-2977
27540	print	1062-7995	1062-7995
27541	print	0033-1155	0033-1155
27542	electronic	1434-6036	1434-6028
27542	print	1434-6028	1434-6028
27543	electronic	1437-3262	1437-3254
27543	print	1437-3254	1437-3254
27544	print	0188-4409	0188-4409
27545	electronic	1434-6052	1434-6044
27545	print	1434-6044	1434-6044
27546	print	1532-3641	1532-3641
27548	print	0363-0153	0363-0153
27549	print	1434-6060	1434-6060
27550	electronic	1292-895X	1292-8941
27550	print	1292-8941	1292-8941
27551	electronic	1286-4854	0295-5075
27551	print	0295-5075	0295-5075
27552	print	1300-0438	1300-0438
27553	print	1016-5126	1016-5126
27554	print	0005-9099	0005-9099
27555	print	0021-7468	0021-7468
27556	print	0368-1416	0368-1416
27560	print	0523-798X	0523-798X
27562	electronic	1573-2800	0004-0002
27562	print	0004-0002	0004-0002
27563	print	0857-6173	0857-6173
27565	print	0860-1844	0860-1844
27566	print	1091-5397	1091-5397
27567	print	1364-0321	1364-0321
27568	print	1105-3992	1105-3992
27569	print	0960-1481	0960-1481
27570	print	0004-1858	0004-1858
27571	electronic	1563-5112	0015-0193
27571	print	0015-0193	0015-0193
27572	print	0004-1955	0004-1955
27573	electronic	1432-5411	0177-7963
27573	print	0177-7963	0177-7963
27574	print	1359-7566	1359-7566
27575	print	0368-2315	0150-9918
27576	electronic	1440-1738	1038-4871
27576	print	1038-4871	1038-4871
27578	print	1019-066X	1019-066X
27579	electronic	1680-9394	1023-0904
27579	print	1023-0904	1023-0904
27580	electronic	1573-7330	1058-0468
27580	print	1058-0468	1058-0468
27581	print	1042-4067	1042-4067
27583	print	1069-2673	1069-2673
27584	print	0890-3344	0890-3344
27585	electronic	1526-0976	1089-2591
27585	print	1089-2591	1089-2591
27588	print	1101-8267	1101-8267
27589	print	0871-3413	0871-3413
27591	print	0004-2897	0004-2897
27592	print	1478-6354	1478-6354
27593	print	0895-769X	0895-769X
27594	print	0367-3294	0367-3294
27595	print	0021-3411	0021-3411
27596	print	1092-1095	1092-1095
27597	print	0010-8804	0010-8804
27598	print	0887-6274	0887-6274
27599	print	1054-7738	1054-7738
27600	print	0449-0576	0449-0576
27601	electronic	1476-4954	1476-4954
27601	print	1476-7058	1476-4954
27602	print	1367-9120	1367-9120
27603	print	1526-9523	1526-9523
27604	electronic	1364-6893	0144-3615
27604	print	0144-3615	0144-3615
27605	print	1322-7696	1322-7696
27607	print	8750-846X	8750-846X
27608	electronic	1447-0756	1447-0756
27608	print	1341-8076	1341-8076
27609	print	0898-4093	0898-4093
27610	print	0373-5834	0373-5834
27613	electronic	1541-0064	0008-3658
27613	print	0008-3658	0008-3658
27614	print	0928-7655	0928-7655
27618	print	1087-3244	1087-3244
27619	print	0303-240X	0303-240X
27620	print	0890-1171	0890-1171
27622	electronic	1619-3997	0300-5577
27622	print	0300-5577	0300-5577
27623	print	0743-8346	0743-8346
27624	print	0278-4092	0278-4092
27626	print	1037-6178	1037-6178
27627	print	1078-4535	1078-4535
27628	print	0167-482X	0167-482X
27629	print	0279-5442	0279-5442
27630	print	0024-7758	0024-7758
27631	print	1203-1178	1203-1178
27632	print	0899-5885	0899-5885
27634	print	0252-9939	0252-9939
27635	print	1318-3222	1318-3222
27636	print	1048-9053	1048-9053
27637	print	0317-7173	0317-7173
27638	print	0069-0805	0069-0805
27639	print	1523-0406	1523-0406
27640	print	0210-4466	0210-4466
27641	print	1062-0281	1062-0281
27642	print	1008-682X	1008-682X
27643	electronic	1550-5111	0887-9303
27643	print	0887-9303	0887-9303
27644	print	0379-8577	0379-8577
27647	print	0730-4625	0730-4625
27648	print	0025-021X	0025-021X
27649	electronic	2571-421X	1212-0014
27649	print	1212-0014	1212-0014
27650	print	1347-9555	1347-9555
27652	electronic	1546-0126	1048-5236
27652	print	1048-5236	1048-5236
27654	print	0004-4849	0004-4849
27655	print	1094-8465	1094-8465
27656	electronic	1366-588X	0020-7543
27656	print	0020-7543	0020-7543
27657	electronic	1540-2495	1540-2495
27657	print	1540-2487	1540-2495
27658	electronic	1573-6628	1092-7875
27658	print	1092-7875	1092-7875
27659	print	1497-3715	1497-3715
27660	print	0378-5122	0378-5122
27661	print	0021-9347	0021-9347
27662	print	1354-5752	1354-5752
27663	print	0022-0027	0022-0027
27665	electronic	1469-9397	0258-9001
27665	print	0258-9001	0258-9001
27666	print	1072-3714	1072-3714
27667	electronic	2090-3251	1110-5690
27667	print	1110-5690	1110-5690
27669	print	0588-3253	0588-3253
27672	print	1003-8213	1003-8213
27673	print	0738-6583	0738-6583
27674	print	0164-2022	0164-2022
27676	print	0219-6867	0219-6867
27677	print	1526-6125	1526-6125
27679	electronic	1540-5885	0737-6782
27679	print	0737-6782	0737-6782
27681	electronic	1578-1291	1130-2399
27681	print	1130-2399	1130-2399
27682	print	1474-5151	1474-5151
27684	print	1462-3889	1462-3889
27685	electronic	1558-7266	0026-2420
27685	print	0026-2420	0026-2420
27686	print	1001-2400	1001-2400
27687	print	0961-1290	0961-1290
27688	electronic	0973-7758	0250-6335
27688	print	0250-6335	0250-6335
27689	electronic	1468-9618	1367-6539
27689	print	1367-6539	1367-6539
27691	electronic	1469-7815	0143-814X
27691	print	0143-814X	0143-814X
27693	print	0774-935X	0774-935X
27694	print	0015-4199	0015-4199
27696	electronic	1465-3893	0305-7070
27696	print	0305-7070	0305-7070
27699	print	0039-7857	0039-7857
27701	print	1475-0708	1475-0708
27702	print	0016-2116	0016-2116
27703	electronic	1349-3329	0040-8727
27703	print	0040-8727	0040-8727
27705	print	0046-9750	0046-9750
27707	print	0147-9563	0147-9563
27708	print	0786-5686	0786-5686
27710	electronic	2153-6619	0145-5788
27710	print	0145-5788	0145-5788
27711	print	1086-9379	1086-9379
27712	print	1018-5275	1018-5275
27713	electronic	1533-404X	0195-7910
27713	print	0195-7910	0195-7910
27714	print	0163-1942	0163-1942
27715	print	0972-8074	0972-8066
27717	electronic	1550-5138	0887-9311
27717	print	0887-9311	0887-9311
27718	print	0324-8267	0324-8267
27719	print	0045-0618	0045-0618
27724	print	0278-0070	0278-0070
27726	print	1533-7758	1533-7758
27728	print	1742-2876	1742-2876
27729	print	0073-3253	0073-3253
27730	electronic	1384-1092	1384-1076
27730	print	1384-1076	1384-1076
27731	print	0094-582X	0094-582X
27732	print	1387-6473	1387-6473
27733	electronic	1542-4278	0023-8791
27733	print	0023-8791	0023-8791
27735	print	0019-3062	0019-3062
27736	print	0822-8558	0822-8558
27737	print	1195-2695	1195-2695
27739	electronic	0718-0462	0716-1840
27739	print	0716-1840	0716-1840
27741	electronic	1755-2567	0040-5825
27741	print	0040-5825	0040-5825
27743	print	0379-0738	0379-0738
27744	print	0226-8841	0226-8841
27746	print	0964-3397	0964-3397
27748	print	1540-496X	1540-496X
27749	electronic	1440-172X	1322-7114
27749	print	1322-7114	1322-7114
27750	print	0362-4331	0362-4331
27753	electronic	1437-1596	0937-9827
27753	print	0937-9827	0937-9827
27754	print	0915-9606	0915-9606
27755	print	0047-1887	0047-1887
27756	print	0249-6208	0249-6208
27760	print	0028-6060	0028-6060
27761	print	0028-6583	0028-6583
27763	print	1353-1131	1353-1131
27764	print	0029-7704	0029-7704
27765	print	0895-173X	0895-173X
27766	print	1004-5619	1004-5619
27767	print	0971-1929	0971-1929
27768	electronic	2219-6749	0258-414X
27768	print	0258-414X	0258-414X
27769	print	0022-1198	0022-1198
27770	print	1081-5589	1081-5589
27771	print	0394-8218	0394-8218
27772	print	0005-8351	0005-8351
27773	print	0032-0633	0032-0633
27774	print	0703-1211	0703-1211
27775	print	1344-6223	1344-6223
27777	print	1246-7391	1246-7391
27778	print	0004-6264	0004-6264
27781	electronic	1538-3873	0004-6280
27781	print	0004-6280	0004-6280
27782	electronic	1543-9542	0022-2402
27782	print	0022-2402	0022-2402
27784	electronic	1437-8213	0948-4280
27784	print	0948-4280	0948-4280
27785	print	1023-2796	1023-2796
27786	print	0924-7963	0924-7963
27787	print	0916-8370	0916-8370
27788	electronic	1520-0485	0022-3670
27788	print	0022-3670	0022-3670
27789	electronic	1571-8085	0927-3522
27789	print	0927-3522	0927-3522
27790	print	0543-5846	0543-5846
27792	print	0026-1033	0026-1033
27794	print	1052-309X	1052-309X
27795	electronic	1434-5196	0937-9819
27795	print	0937-9819	0937-9819
27796	print	1221-8618	1221-8618
27797	print	0185-1101	0185-1101
27798	print	0377-4732	0377-4732
27800	print	1355-0306	1355-0306
27801	print	0022-2410	0022-2410
27803	print	1033-1522	1033-1522
27804	electronic	1547-7401	0882-7508
27804	print	0882-7508	0882-7508
27805	print	0289-6214	0289-6214
27806	print	0376-6411	0376-6411
27807	print	0026-7562	0026-7562
27808	print	0026-8127	0026-8127
27809	print	0039-4521	0039-4521
27810	print	1055-0305	1055-0305
27811	print	0044-1570	0044-1570
27812	print	1001-5728	1001-5728
27813	print	1044-758X	1044-758X
27815	print	0452-7739	0452-7739
27817	print	1001-1935	1001-1935
27818	electronic	1432-0509	0942-8925
27818	print	0942-8925	0942-8925
27819	electronic	1242-1383	0240-642X
27819	print	0240-642X	0240-642X
27820	print	0001-5644	0001-5644
27821	print	0300-9033	0300-9033
27822	print	0269-2813	0269-2813
27823	print	0953-0673	0953-0673
27825	electronic	1572-0241	0002-9270
27825	print	0002-9270	0002-9270
27826	print	0066-2070	0066-2070
27827	print	0849-0767	0849-0767
27828	print	0247-039X	0247-039X
27830	print	0590-8450	0590-8450
27833	print	0040-5639	0040-5639
27836	print	0164-0925	0164-0925
27838	print	0012-1096	0012-1096
27841	print	0300-306X	0300-306X
27842	print	1381-6551	1381-6551
27843	print	1367-5788	1367-5788
27845	print	0026-4040	0026-4040
27846	print	1323-1650	1323-1650
27847	print	0025-3227	0025-3227
27848	electronic	1573-0581	0025-3235
27848	print	0025-3235	0025-3235
27850	print	1064-119X	1064-119X
27851	print	0308-597X	0308-597X
27852	print	0738-1360	0738-1360
27853	print	0826-9831	0826-9831
27854	print	1003-6326	1003-6326
27856	electronic	1572-9125	0006-3835
27856	print	0006-3835	0006-3835
27857	print	0957-5537	0957-5537
27858	print	1075-2838	1075-2838
27859	print	1086-7872	1086-7872
27860	print	0002-9726	0002-9726
27862	print	0025-3324	0025-3324
27865	print	1477-8424	1477-8424
27866	print	0031-918X	0031-918X
27867	print	1037-3748	1037-3748
27868	print	0360-3164	0360-3164
27869	electronic	1095-8363	0885-2308
27869	print	0885-2308	0885-2308
27871	electronic	1532-0634	1532-0626
27871	print	1532-0626	1532-0626
27872	electronic	1471-0676	0032-1400
27872	print	0032-1400	0032-1400
27873	print	1522-7383	1522-7383
27875	print	0001-5733	0001-5733
27876	print	1000-3274	1000-3274
27877	print	0253-4967	0253-4967
27878	print	1051-7324	1051-7324
27879	electronic	1993-503X	1671-3664
27879	print	1671-3664	1671-3664
27880	print	0253-3782	0253-3782
27881	print	1356-9287	1356-9287
27884	print	0032-4795	0032-4795
27885	print	0032-5899	0032-5899
27886	electronic	1573-9066	1068-1302
27886	print	1068-1302	1068-1302
27887	electronic	2050-8557	0360-9669
27887	print	0360-9669	0360-9669
27888	print	0032-678X	0032-678X
27889	electronic	2217-3986	0038-982X
27889	print	0038-982X	0038-982X
27890	print	0039-2936	0039-2936
27891	print	8755-2930	1944-8201
27894	print	1048-0293	1048-0293
27895	electronic	2324-9250	0096-3941
27895	print	0096-3941	0096-3941
27896	electronic	1728-4465	0039-3665
27896	print	0039-3665	0039-3665
27898	print	0017-2901	0017-2901
27899	print	0373-3629	0373-3629
27900	print	0131-1611	0131-1611
27901	electronic	1460-2229	0263-2136
27901	print	0263-2136	0263-2136
27902	print	1069-5648	1069-5648
27906	electronic	1365-2397	0263-5046
27906	print	0263-5046	0263-5046
27908	electronic	1581-1328	0351-0271
27908	print	0351-0271	0351-0271
27909	print	0016-7126	0016-7126
27910	print	0028-8330	0028-8330
27915	print	1444-4976	1444-4976
27918	print	1045-9065	1045-9065
27919	print	1001-0521	1001-0521
27922	print	0066-9814	0066-9814
27924	print	0002-5569	0002-5569
27926	print	0016-7169	0016-7169
27927	electronic	1846-6346	0352-3659
27927	print	0352-3659	0352-3659
27928	print	0315-3681	0315-3681
27930	print	1671-8860	1671-8860
27931	print	0044-0477	0044-0477
27932	print	0044-2798	0044-2798
27933	print	0015-5454	0015-5454
27935	print	0015-5616	0015-5616
27936	print	0014-729X	0014-729X
27938	print	0305-6244	0305-6244
27943	print	0016-7932	0016-7932
27944	electronic	1469-9044	0260-2105
27944	print	0260-2105	0260-2105
27945	electronic	2324-0741	0367-4231
27945	print	0367-4231	0367-4231
27946	electronic	1029-0419	0309-1929
27946	print	0309-1929	0309-1929
27947	print	0956-540X	0956-540X
27949	print	0044-3751	0044-3751
27951	print	0182-4295	0182-4295
27952	print	0929-6646	0929-6646
27953	print	0170-3331	0170-3331
27955	electronic	1521-3978	0015-8208
27955	print	0015-8208	0015-8208
27956	electronic	1572-9516	0015-9018
27956	print	0015-9018	0015-9018
27957	electronic	1572-9524	0894-9875
27957	print	0894-9875	0894-9875
27958	print	0932-0547	0932-0547
27959	print	0016-0032	0016-0032
27961	electronic	1365-2478	0016-8025
27961	print	0016-8025	0016-8025
27962	print	0094-8276	0094-8276
27963	print	0199-0071	0199-0071
27964	print	0016-7177	0016-7177
27965	print	0016-8033	0016-8033
27967	print	0016-8521	0016-8521
27968	print	0232-2064	0232-2064
27969	electronic	1347-7501	1340-3516
27969	print	1340-3516	1340-3516
27970	electronic	1521-4001	0044-2267
27970	print	0044-2267	0044-2267
27971	electronic	1420-9039	0044-2275
27971	print	0044-2275	0044-2275
27974	print	1093-9946	1093-4715
27975	electronic	1572-9532	0001-7701
27975	print	0001-7701	0001-7701
27979	print	0035-8533	0035-8533
27980	electronic	1086-3273	0276-1114
27980	print	0276-1114	0276-1114
27981	print	0016-254X	0016-254X
27983	print	0016-2582	0016-2582
