scopus_id	homepage
12171	http://www.maney.co.uk/search?fwaction=show&fwid=631
12172	http://www.springeronline.com/journal/00382/about
12174	http://www.ion.org/publications/
12175	http://www.int-res.com/journals/cr/index.html
12177	http://www.springeronline.com/journal/10584/about
12178	http://jlt.osa.org/journal/jlt/about.cfm
12179	http://www.sciencedirect.com/science/journal/00222313
12180	http://spiedl.aip.org/dbt/dbt.jsp?KEY=JMMMGF
12181	http://www.informaworld.com/openurl?genre=journal&issn=09500340
12182	http://www.sciencedirect.com/science/journal/00222852
12183	http://ejournals.worldscientific.com.sg/jnopm/jnopm.shtml
12184	http://jot.osa.org/journal/jot/about.cfm
12186	http://www.sciencedirect.com/science/journal/1297319X
12187	http://www.sciencedirect.com/science/journal/09939857
12188	http://sag.sagepub.com/
12189	http://www.sciencedirect.com/science/journal/1569190X
12190	http://journals.cambridge.org/action/displayJournal?jid=RCG
12191	http://www.sciencedirect.com/science/journal/08835403
12192	http://www.iospress.nl/html/10538127.php
12194	http://www.sciencedirect.com/science/journal/0211139X
12195	http://www.nexusediciones.com/np_gero1.htm
12198	http://www.ejbjs.org
12199	http://www.revuedegeriatrie.fr/
12201	http://www.jbjs.org.uk
12202	http://www.sciencedirect.com/science/journal/09669795
12204	http://www.maney.co.uk/search?fwaction=show&fwid=31
12205	http://www.iop.org/Journals/JoptA
12206	http://www.iop.org/Journals/JOptB
12207	http://www.sciencedirect.com/science/journal/00224073
12208	http://www.quantum-electron.ru/
12209	http://journals.cambridge.org/action/displayJournal?jid=LPB
12210	http://www.laserfocusworld.com/issue/current.html
12211	http://www.jbmr-online.org
12212	http://www.sciencedirect.com/science/journal/08839441
12213	http://www.acm.org/pubs/contents/journals/tocs/
12214	http://www.sciencedirect.com/science/journal/07364679
12215	http://www.abipropub.com/fasopro.htm
12216	http://mbe.oxfordjournals.org/
12217	http://www.springerlink.com/openurl.asp?genre=journal&issn=1016-8478
12218	http://content.wkhealth.com/linkback/openurl?issn=0885-9701
12220	http://www.springeronline.com/journal/10974/about
12221	http://www.ajc.org.tw/
12222	http://csdl2.computer.org/persagen/DLPublication.jsp?pubtype=p&acronym=asilomar
12223	http://www.informaworld.com/openurl?genre=journal&issn=13504630
12225	http://www.lasphys.com/lasphys.htm
12226	http://www.hanser.de/zeitschriften/index.asp?fz_id=2438111449-1182&task=010
12227	http://www.oldcitypublishing.com/LIE/LIE.html
12229	http://www.interscience.wiley.com/jpages/0277-7037/
12232	http://informahealthcare.com/loi/mup
12234	http://ejournals.worldscientific.com.sg/jmr/jmr.shtml
12235	http://www.liebertonline.com/neu
12236	http://www.springeronline.com/journal/00056/about
12237	http://www.complexity.org.au/
12239	http://www.elsevier.com/locate/issn/07360266
12240	http://www.sciencedirect.com/science/journal/09492658
12246	http://www.interscience.wiley.com/jpages/1545-2255/
12249	http://www.sciencedirect.com/science/journal/13552198
12250	http://www.interscience.wiley.com/jpages/0895-2477/
12252	http://jpubhealth.oxfordjournals.org/
12253	http://www.chinabusinessreview.com/
12255	http://www.josonline.org/
12256	http://journals.cambridge.org/action/displayJournal?jid=CLJ
12257	http://content.wkhealth.com/linkback/openurl?issn=0890-5339
12259	http://www.springeronline.com/journal/10195/about
12260	http://www.pedorthopaedics.com/
12261	http://content.wkhealth.com/linkback/openurl?issn=1060-152X
12262	http://www.springeronline.com/journal/10703/about
12263	http://content.wkhealth.com/linkback/openurl?issn=1040-8800
12264	http://www.sciencedirect.com/science/journal/0167739X
12265	http://www.rehab.research.va.gov/jour/jourindx.html
12266	http://content.wkhealth.com/linkback/openurl?issn=1536-0652
12268	http://www.aist.org/magazine/preview.htm
12269	http://ieeexplore.ieee.org/servlet/opac?punumber=8968
12270	http://www.nmt.msisa.ru/
12271	http://www.ieindia.org/publish/pr/pr.htm
12272	http://www.informaworld.com/openurl?genre=journal&issn=16501977
12274	http://www.sciencedirect.com/science/journal/03760421
12277	http://www.sciencedirect.com/science/journal/10445005
12278	http://www.iop.org/Journals/SUST
12281	http://www.ajol.info/journal_index.php?ab=jsda
12282	http://journals.cambridge.org/action/displayJournal?jid=JSP
12284	http://www.sciencedirect.com/science/journal/00396028
12286	http://www.sciencedirect.com/science/journal/01675729
12287	http://www.informaworld.com/openurl?genre=journal&issn=01422413
12288	http://www.oldcitypublishing.com/TICL/TICL.html
12289	http://www.if.pwr.wroc.pl/~optappl/
12295	http://www.niwascience.co.nz/pubs/bm/
12299	http://www.journalofwoundcare.com/
12300	http://ieeexplore.ieee.org/servlet/opac?punumber=92
12301	http://www.jfe-steel.co.jp/en/research/report/005/index.html
12302	http://www.tms.org/pubs/journals/JOM/contents.html
12303	http://www.sciencedirect.com/science/journal/03787206
12305	http://www.sciencedirect.com/science/journal/03064379
12306	http://www.jstage.jst.go.jp/browse/jinstmet/
12307	http://jsxb.periodicals.net.cn/
12308	http://www.cswe.org/CSWE/publications/journal/
12309	http://www.informaworld.com/openurl?genre=journal&issn=02650533
12310	http://www.springer.com/journal/11454/about
12311	http://www.springer.com/journal/11455/about
12313	http://www.springeronline.com/journal/11082/about
12316	http://spiedl.aip.org/dbt/dbt.jsp?KEY=OPEGAR
12317	http://www.sciencedirect.com/science/journal/10685200
12318	http://www.sciencedirect.com/science/journal/09253467
12319	http://www.springeronline.com/journal/10043/about
